,S1_img_id,S1_time,S2_img_id,S2_time,cloud_perc,date,location
0,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190122T033436_20190122T033501_014601_01B34B_BFEF,1548128076000,COPERNICUS/S2_SR_HARMONIZED/20190122T075221_20190122T081410_T35JNM,1548145041000,1.901794,2019-01-22,Hartbeespoort
1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190321T164701_20190321T164726_026438_02F5B7_3F33,1553186821000,COPERNICUS/S2_SR_HARMONIZED/20190321T075619_20190321T081839_T35JNM,1553156840000,0.113062,2019-03-21,Hartbeespoort
2,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190510T033436_20190510T033501_016176_01E702_359A,1557459276000,COPERNICUS/S2_SR_HARMONIZED/20190510T075619_20190510T082447_T35JNM,1557476849056,0.13561,2019-05-10,Hartbeespoort
3,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190520T164703_20190520T164728_027313_031499_048A,1558370823000,COPERNICUS/S2_SR_HARMONIZED/20190520T080019_20190520T082353_T35JNM,1558340849322,0.000286,2019-05-20,Hartbeespoort
4,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190522T033437_20190522T033502_016351_01EC6A_B823,1558496077000,COPERNICUS/S2_SR_HARMONIZED/20190522T074621_20190522T081148_T35JNM,1558513048422,0.001699,2019-05-22,Hartbeespoort
5,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190601T164704_20190601T164729_027488_031A0B_816E,1559407624000,COPERNICUS/S2_SR_HARMONIZED/20190601T074611_20190601T080825_T35JNM,1559377047490,0.000283,2019-06-01,Hartbeespoort
6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190709T033440_20190709T033505_017051_020148_20AB,1562643280000,COPERNICUS/S2_SR_HARMONIZED/20190709T075619_20190709T082049_T35JNM,1562660849463,0.006553,2019-07-09,Hartbeespoort
7,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190719T164707_20190719T164732_028188_032F2D_B109,1563554827000,COPERNICUS/S2_SR_HARMONIZED/20190719T075619_20190719T082310_T35JNM,1563524849354,0.03071,2019-07-19,Hartbeespoort
8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190721T033441_20190721T033506_017226_02065E_F348,1563680081000,COPERNICUS/S2_SR_HARMONIZED/20190721T074621_20190721T080458_T35JNM,1563697050157,0.015163,2019-07-21,Hartbeespoort
9,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190731T164707_20190731T164732_028363_033486_0FA3,1564591627000,COPERNICUS/S2_SR_HARMONIZED/20190731T074621_20190731T080415_T35JNM,1564561049711,0.012385,2019-07-31,Hartbeespoort
10,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190917T164710_20190917T164735_029063_034C5C_3208,1568738830000,COPERNICUS/S2_SR_HARMONIZED/20190917T075609_20190917T082612_T35JNM,1568708840068,7.7e-05,2019-09-17,Hartbeespoort
11,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190919T033444_20190919T033509_018101_02214C_8C4A,1568864084000,COPERNICUS/S2_SR_HARMONIZED/20190919T074611_20190919T081148_T35JNM,1568881044812,7.6e-05,2019-09-19,Hartbeespoort
12,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190929T164711_20190929T164736_029238_035261_5E56,1569775631000,COPERNICUS/S2_SR_HARMONIZED/20190929T074711_20190929T080834_T35JNM,1569745046486,3.658824,2019-09-29,Hartbeespoort
13,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20191106T033444_20191106T033509_018801_02371B_44D6,1573011284000,COPERNICUS/S2_SR_HARMONIZED/20191106T080029_20191106T082710_T35JNM,1573028841749,9.252012,2019-11-06,Hartbeespoort
14,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20191128T164710_20191128T164735_030113_0370BB_48BF,1574959630000,COPERNICUS/S2_SR_HARMONIZED/20191128T075251_20191128T081430_T35JNM,1574929044593,3.2e-05,2019-11-28,Hartbeespoort
15,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200105T033442_20200105T033507_019676_02530E_2FC1,1578195282000,COPERNICUS/S2_SR_HARMONIZED/20200105T080229_20200105T082018_T35JNM,1578212835592,2.967805,2020-01-05,Hartbeespoort
16,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200115T164708_20200115T164733_030813_0388F1_90BD,1579106828000,COPERNICUS/S2_SR_HARMONIZED/20200115T080159_20200115T081804_T35JNM,1579076834889,12.053835,2020-01-15,Hartbeespoort
17,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200117T033442_20200117T033507_019851_02589F_CA01,1579232082000,COPERNICUS/S2_SR_HARMONIZED/20200117T075241_20200117T081247_T35JNM,1579249038955,14.213142,2020-01-17,Hartbeespoort
18,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200127T164708_20200127T164733_030988_038F1B_BF0B,1580143628000,COPERNICUS/S2_SR_HARMONIZED/20200127T075201_20200127T081349_T35JNM,1580113037968,0.138482,2020-01-27,Hartbeespoort
19,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200305T033441_20200305T033506_020551_026F1B_B617,1583379281000,COPERNICUS/S2_SR_HARMONIZED/20200305T075809_20200305T082251_T35JNM,1583396838330,2.218693,2020-03-05,Hartbeespoort
20,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200315T164707_20200315T164732_031688_03A758_8BA9,1584290827000,COPERNICUS/S2_SR_HARMONIZED/20200315T075659_20200315T081730_T35JNM,1584260838659,1.936405,2020-03-15,Hartbeespoort
21,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200327T164708_20200327T164733_031863_03AD81_DC33,1585327628000,COPERNICUS/S2_SR_HARMONIZED/20200327T074611_20200327T080818_T35JNM,1585297041187,0.160781,2020-03-27,Hartbeespoort
22,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200504T033443_20200504T033508_021426_028AD4_F267,1588563283000,COPERNICUS/S2_SR_HARMONIZED/20200504T075609_20200504T082219_T35JNM,1588580837725,0.108848,2020-05-04,Hartbeespoort
23,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200514T164710_20200514T164735_032563_03C58A_45BF,1589474830000,COPERNICUS/S2_SR_HARMONIZED/20200514T075609_20200514T082257_T35JNM,1589444839805,0.063009,2020-05-14,Hartbeespoort
24,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200516T033443_20200516T033508_021601_029023_74FD,1589600083000,COPERNICUS/S2_SR_HARMONIZED/20200516T074621_20200516T081446_T35JNM,1589617050198,0.000217,2020-05-16,Hartbeespoort
25,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200526T164710_20200526T164735_032738_03CAD9_0CD5,1590511630000,COPERNICUS/S2_SR_HARMONIZED/20200526T074621_20200526T080832_T35JNM,1590481051024,4.975552,2020-05-26,Hartbeespoort
26,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200703T033446_20200703T033511_022301_02A53F_6FB1,1593747286000,COPERNICUS/S2_SR_HARMONIZED/20200703T075609_20200703T082231_T35JNM,1593764842867,0.161194,2020-07-03,Hartbeespoort
27,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200713T164713_20200713T164738_033438_03DFF0_03A6,1594658833000,COPERNICUS/S2_SR_HARMONIZED/20200713T075609_20200713T082205_T35JNM,1594628842169,0.087272,2020-07-13,Hartbeespoort
28,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200715T033447_20200715T033512_022476_02AA8C_8244,1594784087000,COPERNICUS/S2_SR_HARMONIZED/20200715T074621_20200715T080806_T35JNM,1594801049683,0.21272,2020-07-15,Hartbeespoort
29,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200911T164716_20200911T164741_034313_03FD31_8A05,1599842836000,COPERNICUS/S2_SR_HARMONIZED/20200911T075609_20200911T082123_T35JNM,1599812843024,0.051027,2020-09-11,Hartbeespoort
30,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200913T033450_20200913T033515_023351_02C595_C818,1599968090000,COPERNICUS/S2_SR_HARMONIZED/20200913T074621_20200913T081626_T35JNM,1599985049063,0.180312,2020-09-13,Hartbeespoort
31,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200923T164717_20200923T164742_034488_040366_DB68,1600879637000,COPERNICUS/S2_SR_HARMONIZED/20200923T074641_20200923T081054_T35JNM,1600849050189,0.002052,2020-09-23,Hartbeespoort
32,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20201230T033449_20201230T033514_024926_02F750_2BCA,1609299289000,COPERNICUS/S2_SR_HARMONIZED/20201230T080239_20201230T082138_T35JNM,1609316838752,5.558741,2020-12-30,Hartbeespoort
33,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210121T164714_20210121T164739_036238_044028_4FCF,1611247634000,COPERNICUS/S2_SR_HARMONIZED/20210121T075231_20210121T081059_T35JNM,1611217045769,12.706411,2021-01-21,Hartbeespoort
34,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210310T164713_20210310T164738_036938_045888_19C4,1615394833000,COPERNICUS/S2_SR_HARMONIZED/20210310T075739_20210310T082145_T35JNM,1615364839930,2.299497,2021-03-10,Hartbeespoort
35,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20210312T033447_20210312T033512_025976_03193C_19DD,1615520087000,COPERNICUS/S2_SR_HARMONIZED/20210312T074721_20210312T081050_T35JNM,1615537044662,3.744677,2021-03-12,Hartbeespoort
36,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20210429T033448_20210429T033513_026676_032F98_C426,1619667288000,COPERNICUS/S2_SR_HARMONIZED/20210429T075609_20210429T082141_T35JNM,1619684836318,7.8e-05,2021-04-29,Hartbeespoort
37,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210509T164715_20210509T164740_037813_04768E_7874,1620578835000,COPERNICUS/S2_SR_HARMONIZED/20210509T075609_20210509T082144_T35JNM,1620548838700,0.000199,2021-05-09,Hartbeespoort
38,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20210511T033449_20210511T033514_026851_03352F_5A91,1620704089000,COPERNICUS/S2_SR_HARMONIZED/20210511T074611_20210511T081050_T35JNM,1620721044404,7e-05,2021-05-11,Hartbeespoort
39,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210521T164716_20210521T164741_037988_047BD5_43D1,1621615636000,COPERNICUS/S2_SR_HARMONIZED/20210521T074611_20210521T081051_T35JNM,1621585045446,0.002457,2021-05-21,Hartbeespoort
40,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20210628T033452_20210628T033517_027551_0349F6_F3A9,1624851292000,COPERNICUS/S2_SR_HARMONIZED/20210628T075609_20210628T082132_T35JNM,1624868841524,0.001257,2021-06-28,Hartbeespoort
41,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210708T164719_20210708T164744_038688_0490C5_7878,1625762839000,COPERNICUS/S2_SR_HARMONIZED/20210708T075609_20210708T082147_T35JNM,1625732842382,0.010008,2021-07-08,Hartbeespoort
42,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20210710T033452_20210710T033517_027726_034F13_0D96,1625888092000,COPERNICUS/S2_SR_HARMONIZED/20210710T074611_20210710T081053_T35JNM,1625905047962,0.000677,2021-07-10,Hartbeespoort
43,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210720T164719_20210720T164744_038863_049605_FB98,1626799639000,COPERNICUS/S2_SR_HARMONIZED/20210720T074621_20210720T081054_T35JNM,1626769048398,10.749984,2021-07-20,Hartbeespoort
44,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20210827T033455_20210827T033520_028426_036443_A69F,1630035295000,COPERNICUS/S2_SR_HARMONIZED/20210827T075609_20210827T082128_T35JNM,1630052838669,4.659346,2021-08-27,Hartbeespoort
