,S2_img_id,S2_time,cloud_perc,date,location,S1_img_id,S1_time
0,COPERNICUS/S2_SR_HARMONIZED/20190105T053219_20190105T053603_T43QCA,1546667034000,1.682932,2019-01-05,Mula,,
1,COPERNICUS/S2_SR_HARMONIZED/20190110T053211_20190110T053252_T43QCA,1547099031000,1.880432,2019-01-10,Mula,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190110T005458_20190110T005534_025408_02D075_A287,1547081698000.0
2,COPERNICUS/S2_SR_HARMONIZED/20190115T053159_20190115T053503_T43QCA,1547531035768,0.000282,2019-01-15,Mula,,
3,COPERNICUS/S2_SR_HARMONIZED/20190120T053131_20190120T053630_T43QCA,1547963032730,7.3e-05,2019-01-20,Mula,,
4,COPERNICUS/S2_SR_HARMONIZED/20190125T053109_20190125T053305_T43QCA,1548395036000,0.066671,2019-01-25,Mula,,
5,COPERNICUS/S2_SR_HARMONIZED/20190130T053051_20190130T054027_T43QCA,1548827033199,0.000269,2019-01-30,Mula,,
6,COPERNICUS/S2_SR_HARMONIZED/20190204T053029_20190204T053148_T43QCA,1549259036000,8.850602,2019-02-04,Mula,,
7,COPERNICUS/S2_SR_HARMONIZED/20190209T052951_20190209T053532_T43QCA,1549691033000,5.729597,2019-02-09,Mula,,
8,COPERNICUS/S2_SR_HARMONIZED/20190214T052929_20190214T054115_T43QCA,1550123036235,0.0,2019-02-14,Mula,,
9,COPERNICUS/S2_SR_HARMONIZED/20190219T052851_20190219T053948_T43QCA,1550555032564,0.000302,2019-02-19,Mula,,
10,COPERNICUS/S2_SR_HARMONIZED/20190224T052819_20190224T053649_T43QCA,1550987035310,3e-06,2019-02-24,Mula,,
11,COPERNICUS/S2_SR_HARMONIZED/20190301T052741_20190301T054222_T43QCA,1551419031439,0.000232,2019-03-01,Mula,,
12,COPERNICUS/S2_SR_HARMONIZED/20190306T052709_20190306T053522_T43QCA,1551851033000,2.322301,2019-03-06,Mula,,
13,COPERNICUS/S2_SR_HARMONIZED/20190311T052641_20190311T053430_T43QCA,1552283031560,0.000193,2019-03-11,Mula,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190311T005457_20190311T005533_026283_02EFF9_F707,1552265697000.0
14,COPERNICUS/S2_SR_HARMONIZED/20190316T052649_20190316T053602_T43QCA,1552715034337,1.7e-05,2019-03-16,Mula,,
15,COPERNICUS/S2_SR_HARMONIZED/20190321T052641_20190321T053954_T43QCA,1553147034274,0.000236,2019-03-21,Mula,,
