,S1_img_id,S1_time,S2_img_id,S2_time,cloud_perc,date,location
0,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190110T005458_20190110T005534_025408_02D075_A287,1547081698000,COPERNICUS/S2_SR_HARMONIZED/20190110T053211_20190110T053252_T43QCA,1547099031000,1.880432,2019-01-10,Mula
1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190311T005457_20190311T005533_026283_02EFF9_F707,1552265697000,COPERNICUS/S2_SR_HARMONIZED/20190311T052641_20190311T053430_T43QCA,1552283031560,0.000193,2019-03-11,Mula
2,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20191007T005425_20191007T005450_018362_02297B_E354,1570409665000,COPERNICUS/S2_SR_HARMONIZED/20191007T052711_20191007T053002_T43QCA,1570427038718,17.495633,2019-10-07,Mula
3,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20191106T005507_20191106T005543_029783_036532_6747,1573001707000,COPERNICUS/S2_SR_HARMONIZED/20191106T053021_20191106T053455_T43QCA,1573019039147,16.406994,2019-11-06,Mula
4,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20191206T005425_20191206T005450_019237_024524_7785,1575593665000,COPERNICUS/S2_SR_HARMONIZED/20191206T053211_20191206T053823_T43QCA,1575611033960,9.991971,2019-12-06,Mula
5,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200105T005505_20200105T005541_030658_03837F_2A06,1578185705000,COPERNICUS/S2_SR_HARMONIZED/20200105T053221_20200105T053922_T43QCA,1578203030823,15.144243,2020-01-05,Mula
6,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200305T005503_20200305T005539_031533_03A1F5_12D6,1583369703000,COPERNICUS/S2_SR_HARMONIZED/20200305T052711_20200305T053544_T43QCA,1583387032108,0.043707,2020-03-05,Mula
7,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200504T005458_20200504T005523_032408_03C0A7_AC57,1588553698000,COPERNICUS/S2_SR_HARMONIZED/20200504T052651_20200504T053442_T43QCA,1588571039892,7e-06,2020-05-04,Mula
8,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20201031T005511_20201031T005536_035033_041642_619A,1604105711000,COPERNICUS/S2_SR_HARMONIZED/20201031T052951_20201031T053450_T43QCA,1604123041446,0.013039,2020-10-31,Mula
9,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20201230T005509_20201230T005534_035908_04349E_7131,1609289709000,COPERNICUS/S2_SR_HARMONIZED/20201230T053231_20201230T054259_T43QCA,1609307036310,0.0001,2020-12-30,Mula
10,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210228T005507_20210228T005532_036783_04530C_3293,1614473707000,COPERNICUS/S2_SR_HARMONIZED/20210228T052751_20210228T054143_T43QCA,1614491036201,1.7e-05,2021-02-28,Mula
11,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210429T005509_20210429T005534_037658_047168_B057,1619657709000,COPERNICUS/S2_SR_HARMONIZED/20210429T052641_20210429T053913_T43QCA,1619675033642,0.119878,2021-04-29,Mula
