,outer_test_location,inner_val_region,f1,accuracy,precision,recall,auroc,best_n_estimators,best_max_depth,best_min_samples_leaf,AWEIp95
0,Hartbeespoort,Inle,0.9180487804878049,0.9151086407276402,0.8953377735490009,0.9419419419419419,0.9725000510714796,100,5,10,False
1,Hartbeespoort,Mula,0.8860103626943006,0.8938223938223938,0.9223300970873787,0.8524426719840479,0.9363038107380386,100,5,10,False
2,Hartbeespoort,RawaPening,0.9506234413965087,0.9505494505494505,0.9501495513459621,0.9510978043912176,0.9855454091816367,100,5,10,False
3,Hartbeespoort,Rodman,0.8862745098039215,0.8634937238493724,0.7982731554160125,0.9960822722820764,0.9199921733385658,100,5,10,False
4,Hartbeespoort,Valsequillo,0.9417273673257024,0.9408346539883783,0.9358841778697001,0.9476439790575916,0.98596657698791,100,5,10,False
5,Hartbeespoort,Vembanad,0.93,0.9300699300699301,0.9318637274549099,0.9281437125748503,0.9726801397205588,100,5,10,False
6,Hartbeespoort,Winam,0.8338702254947078,0.8194097048524263,0.7723785166240409,0.906,0.9096596596596597,100,5,10,False
7,Inle,Hartbeespoort,0.9568746829020801,0.9576482311908321,0.9731682146542827,0.9411177644710579,0.992084487740936,100,5,5,False
8,Inle,Mula,0.9008642602948653,0.9058880308880309,0.9190871369294605,0.8833499501495513,0.9487944025733837,100,5,5,False
9,Inle,RawaPening,0.9538763493621197,0.9530469530469531,0.9382239382239382,0.9700598802395209,0.985805888223553,100,5,5,False
10,Inle,Rodman,0.8737351517817862,0.8498953974895398,0.7931309904153354,0.9725759059745348,0.9057414937271288,100,5,5,False
11,Inle,Valsequillo,0.951937984496124,0.9508716323296355,0.939795918367347,0.9643979057591623,0.9862557072528161,100,5,5,False
12,Inle,Vembanad,0.9252243270189432,0.9250749250749251,0.9243027888446215,0.9261477045908184,0.9653802395209581,100,5,5,False
13,Inle,Winam,0.8742228598756576,0.8684342171085543,0.8377635197066912,0.914,0.9301731731731732,100,5,5,False
14,Mula,Hartbeespoort,0.9416020671834625,0.9436970602889886,0.9764201500535906,0.909181636726547,0.9920546965769953,200,10,5,False
15,Mula,Inle,0.9292035398230089,0.9272359777665488,0.9130434782608695,0.9459459459459459,0.9806898735470165,200,10,5,False
16,Mula,RawaPening,0.9426559356136821,0.9430569430569431,0.9503042596348884,0.935129740518962,0.9830489021956088,200,10,5,False
17,Mula,Rodman,0.9034543844109831,0.8859832635983264,0.824575586095392,0.9990205680705191,0.9692001086059199,200,10,5,False
18,Mula,Valsequillo,0.9340482573726542,0.9350237717908082,0.9571428571428572,0.912041884816754,0.9877370812355575,200,10,5,False
19,Mula,Vembanad,0.9366447034972124,0.9375624375624375,0.9515962924819773,0.9221556886227545,0.9795503992015967,200,10,5,False
20,Mula,Winam,0.87279843444227,0.8699349674837419,0.8544061302681992,0.892,0.9558888888888889,200,10,5,False
21,RawaPening,Hartbeespoort,0.9531568228105907,0.9541604384653712,0.972972972972973,0.9341317365269461,0.9933843755275518,100,10,1,False
22,RawaPening,Inle,0.9261613691931541,0.9236988377968671,0.9053537284894837,0.9479479479479479,0.9785939000224716,100,10,1,False
23,RawaPening,Mula,0.8560807222517259,0.8692084942084942,0.9159090909090909,0.8035892323030908,0.9336462082415056,100,10,1,False
24,RawaPening,Rodman,0.9022556390977443,0.8844142259414226,0.8225806451612904,0.9990205680705191,0.9652274183779244,100,10,1,False
25,RawaPening,Valsequillo,0.9411146161934806,0.9408346539883783,0.9450897571277719,0.93717277486911,0.9817211623259916,100,10,1,False
26,RawaPening,Vembanad,0.9281767955801105,0.9285714285714286,0.9342770475227502,0.9221556886227545,0.9760603792415169,100,10,1,False
27,RawaPening,Winam,0.8783325254483761,0.8744372186093047,0.852304797742239,0.906,0.9592192192192192,100,10,1,False
28,Rodman,Hartbeespoort,0.9622926093514329,0.9626307922272048,0.9696048632218845,0.9550898203592815,0.9876714233225092,200,5,10,False
29,Rodman,Inle,0.9010566762728146,0.8959070237493684,0.866112650046168,0.938938938938939,0.9606320606320605,200,5,10,False
30,Rodman,Mula,0.9034866093986862,0.9078185328185329,0.9159836065573771,0.8913260219341974,0.9428561835541085,200,5,10,False
31,Rodman,RawaPening,0.9525672371638142,0.9515484515484516,0.9338446788111218,0.9720558882235529,0.9863632734530937,200,5,10,False
32,Rodman,Valsequillo,0.9521358723623263,0.9508716323296355,0.9362348178137652,0.9685863874345549,0.9897520624253452,200,5,10,False
33,Rodman,Vembanad,0.9192118226600985,0.9180819180819181,0.9075875486381323,0.9311377245508982,0.9661022954091816,200,5,10,False
34,Rodman,Winam,0.865979381443299,0.8569284642321161,0.8148148148148148,0.924,0.9425645645645645,200,5,10,False
35,Valsequillo,Hartbeespoort,0.9473684210526315,0.9486796213253612,0.9706806282722513,0.9251497005988024,0.9893367493867984,100,5,5,False
36,Valsequillo,Inle,0.917359413202934,0.9146033350176856,0.8967495219885278,0.938938938938939,0.9710189781618352,100,5,5,False
37,Valsequillo,Mula,0.8885480572597138,0.8947876447876448,0.9118572927597062,0.8664007976071785,0.9392841121164103,100,5,5,False
38,Valsequillo,RawaPening,0.9483614697120158,0.948051948051948,0.9436758893280632,0.9530938123752495,0.9829411177644711,100,5,5,False
39,Valsequillo,Rodman,0.8937664618086041,0.8734309623430963,0.8098647573587908,0.9970617042115573,0.9632097446331856,100,5,5,False
40,Valsequillo,Vembanad,0.9303258145363409,0.9305694305694305,0.9345417925478349,0.9261477045908184,0.9744396207584829,100,5,5,False
41,Valsequillo,Winam,0.8533710513908533,0.8444222111055528,0.8073148974130241,0.905,0.9168038038038039,100,5,5,False
42,Vembanad,Hartbeespoort,0.9567430025445293,0.9576482311908321,0.9761163032191069,0.93812375249501,0.9923317544016445,100,5,10,False
