,outer_test_location,inner_val_region,f1,accuracy,precision,recall,auroc,best_n_estimators,best_max_depth,best_min_samples_leaf,AWEIp95
0,Hartbeespoort,Inle,0.9524772497472194,0.9525012632642749,0.9622063329928499,0.9429429429429429,0.9845779452922309,100,5.0,5,True
1,Hartbeespoort,Mula,0.9011328527291452,0.9073359073359073,0.9318423855165069,0.872382851445663,0.9468073795451811,100,5.0,5,True
2,Hartbeespoort,RawaPening,0.9586776859504132,0.9575424575424576,0.9345971563981043,0.9840319361277445,0.9905698602794412,100,5.0,5,True
3,Hartbeespoort,Rodman,0.937471051412691,0.9293933054393305,0.8892794376098418,0.9911851126346719,0.9793967534744551,100,5.0,5,True
4,Hartbeespoort,Valsequillo,0.9550026469031233,0.9550977284733227,0.9657387580299786,0.9445026178010472,0.9923866084685027,100,5.0,5,True
5,Hartbeespoort,Vembanad,0.9428426909458776,0.9435564435564435,0.9558974358974359,0.9301397205588823,0.9843483033932136,100,5.0,5,True
6,Hartbeespoort,Winam,0.8699551569506726,0.8549274637318659,0.7886178861788617,0.97,0.9353593593593592,100,5.0,5,True
7,Inle,Hartbeespoort,0.9829145728643216,0.9830592924763328,0.9898785425101214,0.9760479041916168,0.9985164000357494,500,10.0,1,True
8,Inle,Mula,0.9147208121827411,0.918918918918919,0.9317476732161324,0.8983050847457628,0.9534241056064734,500,10.0,1,True
9,Inle,RawaPening,0.9564796905222437,0.955044955044955,0.9277673545966229,0.9870259481037924,0.9931576846307385,500,10.0,1,True
10,Inle,Rodman,0.9454374412041392,0.9393305439330544,0.9095022624434389,0.9843290891283056,0.9771322980594935,500,10.0,1,True
11,Inle,Valsequillo,0.9307901907356948,0.9329107237189646,0.9704545454545455,0.8942408376963351,0.9882930151039865,500,10.0,1,True
12,Inle,Vembanad,0.9354187689202825,0.936063936063936,0.9459183673469388,0.9251497005988024,0.9833677644710579,500,10.0,1,True
13,Inle,Winam,0.9138180067404911,0.9104552276138069,0.8811513463324049,0.949,0.9796046046046045,500,10.0,1,True
14,Mula,Hartbeespoort,0.9653767820773931,0.9661185849526657,0.9854469854469855,0.9461077844311377,0.9959166244625177,100,,1,True
15,Mula,Inle,0.963673057517659,0.9636179888832744,0.9715157680569685,0.955955955955956,0.9913796449510734,100,,1,True
16,Mula,RawaPening,0.964233219010289,0.9635364635364635,0.9470644850818094,0.9820359281437125,0.9935548902195609,100,,1,True
17,Mula,Rodman,0.9616295594504974,0.9576359832635983,0.9311926605504587,0.9941234084231146,0.9936881053433453,100,,1,True
18,Mula,Valsequillo,0.8998321208729715,0.9054410987849973,0.9663461538461539,0.8418848167539267,0.9829826186941135,100,,1,True
19,Mula,Vembanad,0.937658388241257,0.9385614385614386,0.952626158599382,0.9231536926147704,0.988129241516966,100,,1,True
20,Mula,Winam,0.9186791522917693,0.9174587293646823,0.9057337220602527,0.932,0.9806416416416417,100,,1,True
21,RawaPening,Hartbeespoort,0.9820179820179821,0.9820627802690582,0.983,0.9810379241516967,0.9985551285488724,100,,5,True
22,RawaPening,Inle,0.961,0.9605861546235472,0.9600399600399601,0.9619619619619619,0.9871728871728872,100,,5,True
23,RawaPening,Mula,0.9133937562940584,0.916988416988417,0.9226856561546287,0.9042871385842473,0.951434284611087,100,,5,True
24,RawaPening,Rodman,0.956766917293233,0.9518828451882845,0.919602529358627,0.9970617042115573,0.9846687574405498,100,,5,True
25,RawaPening,Valsequillo,0.9318181818181818,0.9334389857369255,0.9641657334826428,0.9015706806282723,0.9873218053338394,100,,5,True
26,RawaPening,Vembanad,0.9316582914572864,0.932067932067932,0.9382591093117408,0.9251497005988024,0.9827360279441116,100,,5,True
27,RawaPening,Winam,0.9070986183897094,0.9024512256128064,0.8662420382165605,0.952,0.9796716716716717,100,,5,True
28,Rodman,Hartbeespoort,0.981453634085213,0.9815645241654211,0.9859013091641491,0.9770459081836327,0.9976415328546886,500,10.0,5,True
29,Rodman,Inle,0.9473156046161565,0.9469429004547751,0.9496981891348089,0.944944944944945,0.9849323813609528,500,10.0,5,True
30,Rodman,Mula,0.9178841309823678,0.9213320463320464,0.9276985743380856,0.9082751744765702,0.9525446112551027,500,10.0,5,True
31,Rodman,RawaPening,0.9606605148130161,0.9595404595404595,0.935666982024598,0.9870259481037924,0.9929151696606786,500,10.0,5,True
32,Rodman,Valsequillo,0.9431330472103004,0.9440042260961437,0.966996699669967,0.9204188481675393,0.9912401344065015,500,10.0,5,True
33,Rodman,Vembanad,0.9352084379708689,0.9355644355644356,0.9413549039433772,0.9291417165668663,0.9861072854291417,500,10.0,5,True
34,Rodman,Winam,0.9019980970504282,0.8969484742371185,0.8602540834845736,0.948,0.976993993993994,500,10.0,5,True
35,Valsequillo,Hartbeespoort,0.9784461152882206,0.9785749875435974,0.9828801611278952,0.9740518962075848,0.9978659596230425,200,10.0,10,True
36,Valsequillo,Inle,0.9611699445284921,0.9610914603335018,0.9684959349593496,0.953953953953954,0.9892453678167964,200,10.0,10,True
37,Valsequillo,Mula,0.8808777429467085,0.88996138996139,0.9253567508232712,0.8404785643070788,0.9446189028797611,200,10.0,10,True
38,Valsequillo,RawaPening,0.9615571776155718,0.9605394605394605,0.9382716049382716,0.9860279441117764,0.9924720558882235,200,10.0,10,True
39,Valsequillo,Rodman,0.9694364851957975,0.9665271966527197,0.9459459459459459,0.9941234084231146,0.9926592071547997,200,10.0,10,True
40,Valsequillo,Vembanad,0.9383838383838384,0.939060939060939,0.9498977505112475,0.9271457085828343,0.9884600798403193,200,10.0,10,True
41,Valsequillo,Winam,0.8939393939393939,0.887943971985993,0.8489208633093526,0.944,0.9743033033033034,200,10.0,10,True
42,Vembanad,Hartbeespoort,0.9849246231155779,0.9850523168908819,0.9919028340080972,0.9780439121756487,0.9989563162232749,500,10.0,5,True
43,Vembanad,Inle,0.9566532258064516,0.956543708943911,0.9634517766497462,0.94994994994995,0.9846984739841882,500,10.0,5,True
44,Vembanad,Mula,0.9060092449922958,0.9116795366795367,0.934322033898305,0.8793619142572283,0.9509721536979333,500,10.0,5,True
45,Vembanad,RawaPening,0.9602713178294574,0.9590409590409591,0.9331450094161958,0.9890219560878244,0.9919001996007984,500,10.0,5,True
46,Vembanad,Rodman,0.9531396438612934,0.9476987447698745,0.9137466307277629,0.9960822722820764,0.9871167876391512,500,10.0,5,True
47,Vembanad,Valsequillo,0.9383783783783783,0.9397781299524565,0.9698324022346368,0.9089005235602095,0.9918351399323503,500,10.0,5,True
48,Vembanad,Winam,0.9281978126485972,0.9244622311155578,0.8848594741613781,0.976,0.980905905905906,500,10.0,5,True
49,Winam,Hartbeespoort,0.9735924265072247,0.9735924265072247,0.972139303482587,0.9750499001996008,0.9940894330741501,100,10.0,5,True
50,Winam,Inle,0.9608040201005025,0.9605861546235472,0.9646821392532795,0.9569569569569569,0.989993564993565,100,10.0,5,True
51,Winam,Mula,0.9120654396728016,0.916988416988417,0.9359916054564533,0.8893320039880359,0.9499135894468138,100,10.0,5,True
52,Winam,RawaPening,0.962457337883959,0.9615384615384616,0.9408960915157293,0.9850299401197605,0.9929790419161676,100,10.0,5,True
53,Winam,Rodman,0.9527374824520356,0.9471757322175732,0.9121863799283154,0.9970617042115573,0.9874487611999855,100,10.0,5,True
54,Winam,Valsequillo,0.937365010799136,0.9387216059165346,0.967670011148272,0.9089005235602095,0.9865392558523762,100,10.0,5,True
55,Winam,Vembanad,0.9362992922143579,0.9370629370629371,0.9487704918032787,0.9241516966067864,0.9875973053892215,100,10.0,5,True
