,outer_test_location,inner_val_region,f1,accuracy,precision,recall,auroc,best_n_estimators,best_max_depth,best_min_samples_leaf,AWEIp95
0,Hartbeespoort,Inle,0.9184171958964338,0.9165,0.897803247373448,0.94,0.9743209999999999,200,5,1,False
1,Hartbeespoort,Mula,0.8855515277058519,0.8933397683397684,0.9213362068965517,0.8524426719840479,0.9370569302382843,200,5,1,False
2,Hartbeespoort,RawaPening,0.9546586945690084,0.9545454545454546,0.9532338308457712,0.9560878243512974,0.9859650698602793,200,5,1,False
3,Hartbeespoort,Rodman,0.8903451288772389,0.8770812928501469,0.8042620363062352,0.99706457925636,0.9294587698092935,200,5,1,False
4,Hartbeespoort,Valsequillo,0.9449049244271087,0.9446078431372549,0.9398642095053347,0.95,0.9879411764705882,200,5,1,False
5,Hartbeespoort,Vembanad,0.929394091136705,0.9295704295704296,0.9326633165829146,0.9261477045908184,0.9721686626746506,200,5,1,False
6,Hartbeespoort,Winam,0.831275720164609,0.815407703851926,0.7657961246840775,0.909,0.9195695695695694,200,5,1,False
7,Inle,Hartbeespoort,0.9579746835443038,0.9591535433070866,0.9722507708119219,0.9441117764471058,0.9922543262988585,200,5,1,False
8,Inle,Mula,0.9038167938931297,0.9087837837837838,0.9230769230769231,0.8853439680957128,0.9480119044177104,200,5,1,False
9,Inle,RawaPening,0.9543446244477173,0.9535464535464535,0.9391304347826087,0.9700598802395209,0.9856182634730539,200,5,1,False
10,Inle,Rodman,0.8691099476439791,0.8530852105778648,0.784251968503937,0.974559686888454,0.9217662407428725,200,5,1,False
11,Inle,Valsequillo,0.952935468219311,0.9524509803921568,0.9433237271853987,0.9627450980392157,0.9868954248366013,200,5,1,False
12,Inle,Vembanad,0.9220069547938401,0.9215784215784216,0.9179030662710188,0.9261477045908184,0.9650479041916167,200,5,1,False
13,Inle,Winam,0.8726235741444867,0.8659329664832416,0.8315217391304348,0.918,0.947183183183183,200,5,1,False
14,Mula,Hartbeespoort,0.9398340248962656,0.9429133858267716,0.978401727861771,0.9041916167664671,0.9918890374590625,100,10,1,False
15,Mula,Inle,0.9292035398230089,0.928,0.913926499032882,0.945,0.9815145000000001,100,10,1,False
16,Mula,RawaPening,0.9397590361445783,0.9400599400599401,0.9454545454545454,0.9341317365269461,0.9821786427145708,100,10,1,False
17,Mula,Rodman,0.904,0.8942213516160626,0.8281758957654723,0.9951076320939335,0.9749721806530831,100,10,1,False
18,Mula,Valsequillo,0.929620253164557,0.9318627450980392,0.9612565445026178,0.9,0.9858275663206458,100,10,1,False
19,Mula,Vembanad,0.9350253807106599,0.936063936063936,0.9514462809917356,0.9191616766467066,0.9787744510978043,100,10,1,False
20,Mula,Winam,0.8801184015786877,0.8784392196098049,0.8685491723466408,0.892,0.9594149149149149,100,10,1,False
21,RawaPening,Hartbeespoort,0.9563451776649746,0.9576771653543307,0.9731404958677686,0.9401197604790419,0.9930304439664361,500,10,5,False
22,RawaPening,Inle,0.9242794333170493,0.9225,0.9035339063992359,0.946,0.9776615000000001,500,10,5,False
23,RawaPening,Mula,0.8645502645502645,0.8764478764478765,0.9210822998872604,0.8145563310069791,0.9332945970321029,500,10,5,False
24,RawaPening,Rodman,0.8982826948480845,0.8868756121449559,0.8166533226581265,0.9980430528375733,0.9667318982387475,500,10,5,False
25,RawaPening,Valsequillo,0.9423361261705273,0.9426470588235294,0.9474727452923687,0.9372549019607843,0.9823279507881585,500,10,5,False
26,RawaPening,Vembanad,0.9268784669692385,0.9275724275724275,0.9367991845056065,0.9171656686626747,0.9772295409181637,500,10,5,False
27,RawaPening,Winam,0.8766328011611031,0.8724362181090545,0.8491096532333646,0.906,0.955997997997998,500,10,5,False
28,Rodman,Hartbeespoort,0.9653440482169764,0.9660433070866141,0.9716885743174924,0.9590818363273453,0.9873156599422513,200,5,1,False
29,Rodman,Inle,0.9003831417624522,0.896,0.8639705882352942,0.94,0.9615239999999999,200,5,1,False
30,Rodman,Mula,0.897876643073812,0.9025096525096525,0.9107692307692308,0.8853439680957128,0.9438214822324419,200,5,1,False
31,Rodman,RawaPening,0.9521016617790812,0.951048951048951,0.9329501915708812,0.9720558882235529,0.987056886227545,200,5,1,False
32,Rodman,Valsequillo,0.9551807228915663,0.9544117647058824,0.9393364928909953,0.9715686274509804,0.9881161091887736,200,5,1,False
33,Rodman,Vembanad,0.9199604743083004,0.919080919080919,0.910958904109589,0.9291417165668663,0.9654031936127744,200,5,1,False
34,Rodman,Winam,0.8703441772748703,0.8624312156078039,0.8233719892952721,0.923,0.9442412412412412,200,5,1,False
35,Valsequillo,Hartbeespoort,0.9462915601023018,0.9483267716535433,0.9706190975865687,0.9231536926147704,0.9901091021839815,100,5,1,False
36,Valsequillo,Inle,0.9167072576716999,0.9145,0.8936372269705603,0.941,0.97157,100,5,1,False
37,Valsequillo,Mula,0.8880903490759754,0.8947876447876448,0.9153439153439153,0.8624127617148555,0.9390579431024046,100,5,1,False
38,Valsequillo,RawaPening,0.9484126984126984,0.948051948051948,0.9428007889546351,0.9540918163672655,0.9838602794411179,100,5,1,False
39,Valsequillo,Rodman,0.8874402433724468,0.8731635651322233,0.7982799061767005,0.9990215264187867,0.9698208050343426,100,5,1,False
40,Valsequillo,Vembanad,0.9296758104738154,0.9295704295704296,0.9292123629112662,0.9301397205588823,0.9769730538922156,100,5,1,False
41,Valsequillo,Winam,0.8579518640868334,0.8494247123561781,0.8123324396782842,0.909,0.9244744744744744,100,5,1,False
42,Vembanad,Hartbeespoort,0.9545686574783052,0.9562007874015748,0.9770114942528736,0.9331337325349301,0.9926079879076798,200,5,5,False
43,Vembanad,Inle,0.9135922330097087,0.911,0.8877358490566037,0.941,0.9675910000000001,200,5,5,False
44,Vembanad,Mula,0.8917525773195877,0.8986486486486487,0.9231590181430096,0.8624127617148555,0.9442878100963713,200,5,5,False
45,Vembanad,RawaPening,0.9550617283950618,0.9545454545454546,0.9452590420332356,0.9650698602794411,0.9870908183632734,200,5,5,False
46,Vembanad,Rodman,0.8724774581365393,0.8545543584720862,0.7773527161438408,0.9941291585127201,0.9431535627949811,200,5,5,False
47,Vembanad,Valsequillo,0.9535333978702807,0.9529411764705882,0.9416826003824091,0.9656862745098039,0.990840061514802,200,5,5,False
48,Vembanad,Winam,0.8761358201817312,0.8704352176088044,0.8395967002749771,0.916,0.9442352352352352,200,5,5,False
49,Winam,Hartbeespoort,0.9409389197375063,0.9424212598425197,0.9519918283963228,0.9301397205588823,0.9831579559327946,500,5,5,False
50,Winam,Inle,0.9213592233009709,0.919,0.8952830188679245,0.949,0.9761000000000001,500,5,5,False
51,Winam,Mula,0.8883170355120947,0.8952702702702703,0.9180851063829787,0.8604187437686939,0.9408724248209535,500,5,5,False
52,Winam,RawaPening,0.9468455042225534,0.9465534465534465,0.9426310583580614,0.9510978043912176,0.9849271457085829,500,5,5,False
53,Winam,Rodman,0.8863735306922073,0.8721841332027425,0.7984313725490196,0.9960861056751468,0.9658061854878939,500,5,5,False
54,Winam,Valsequillo,0.9443359375,0.9441176470588235,0.9406614785992218,0.9480392156862745,0.9792387543252595,500,5,5,False
55,Winam,Vembanad,0.9362769693928751,0.9365634365634365,0.941473259334006,0.9311377245508982,0.9790688622754491,500,5,5,False
