,outer_test_location,inner_val_region,f1,accuracy,precision,recall,auroc,best_n_estimators,best_max_depth,best_min_samples_leaf,AWEIp95
0,Hartbeespoort,Inle,0.9608433734939759,0.961,0.9647177419354839,0.957,0.9904109999999999,200,10,10,True
1,Hartbeespoort,Mula,0.8817656332107199,0.8914092664092664,0.9322222222222222,0.8364905284147557,0.9463415180091157,200,10,10,True
2,Hartbeespoort,RawaPening,0.9658536585365853,0.965034965034965,0.9446564885496184,0.9880239520958084,0.9929840319361277,200,10,10,True
3,Hartbeespoort,Rodman,0.9580386610089581,0.9559187716691432,0.924476797088262,0.9941291585127201,0.9783116472705788,200,10,10,True
4,Hartbeespoort,Valsequillo,0.931899641577061,0.9334001001502253,0.9691160809371672,0.8974358974358975,0.9903688142204459,200,10,10,True
5,Hartbeespoort,Vembanad,0.9417085427135679,0.942057942057942,0.9483805668016194,0.935129740518962,0.9896556886227544,200,10,10,True
6,Hartbeespoort,Winam,0.871160018340211,0.8594297148574287,0.8044030482641829,0.95,0.9537747747747749,200,10,10,True
7,Inle,Hartbeespoort,0.9809428284854563,0.9812715623459832,0.9858870967741935,0.9760479041916168,0.9985792776666724,200,10,10,True
8,Inle,Mula,0.9181494661921709,0.9222972972972973,0.9367219917012448,0.9002991026919243,0.9572181491074018,200,10,10,True
9,Inle,RawaPening,0.9574468085106383,0.9560439560439561,0.9287054409005628,0.9880239520958084,0.9935798403193614,200,10,10,True
10,Inle,Rodman,0.9487179487179487,0.9465081723625557,0.9215867158671587,0.9774951076320939,0.9762369299679862,200,10,10,True
11,Inle,Valsequillo,0.9392547217968351,0.9404106159238859,0.9735449735449735,0.9072978303747534,0.9915927774132642,200,10,10,True
12,Inle,Vembanad,0.935678391959799,0.936063936063936,0.9423076923076923,0.9291417165668663,0.9851671656686627,200,10,10,True
13,Inle,Winam,0.9088291746641075,0.904952476238119,0.8736162361623616,0.947,0.97490990990991,200,10,10,True
14,Mula,Hartbeespoort,0.9663951120162932,0.9674716609167078,0.9864864864864865,0.9471057884231537,0.9963816281750034,500,20,1,True
15,Mula,Inle,0.9653092006033183,0.9655,0.9706774519716885,0.96,0.990745,500,20,1,True
16,Mula,RawaPening,0.9643728648121035,0.9635364635364635,0.9436485195797517,0.9860279441117764,0.9939880239520958,500,20,1,True
17,Mula,Rodman,0.9654519640321817,0.9638434868746905,0.9349220898258478,0.9980430528375733,0.9944863946045572,500,20,1,True
18,Mula,Valsequillo,0.9054621848739496,0.9098647971957937,0.9685393258426966,0.8500986193293886,0.9873194403478464,500,20,1,True
19,Mula,Vembanad,0.9411764705882353,0.9415584415584416,0.9483282674772037,0.9341317365269461,0.9902210578842316,500,20,1,True
20,Mula,Winam,0.9211045364891519,0.919959979989995,0.9085603112840467,0.934,0.9813318318318318,500,20,1,True
21,RawaPening,Hartbeespoort,0.9834917458729364,0.9837358304583539,0.9859578736208626,0.9810379241516967,0.998402416199733,500,10,1,True
22,RawaPening,Inle,0.9593253968253969,0.959,0.9517716535433071,0.967,0.9904495,500,10,1,True
23,RawaPening,Mula,0.9142572283150548,0.916988416988417,0.9142572283150548,0.9142572283150548,0.9538148883564462,500,10,1,True
24,RawaPening,Rodman,0.9546517064048621,0.9519564140663694,0.9140555058191585,0.9990215264187867,0.9876675034889404,500,10,1,True
25,RawaPening,Valsequillo,0.9386098427194317,0.9394091136705057,0.9665621734587252,0.9122287968441815,0.9884636452834277,500,10,1,True
26,RawaPening,Vembanad,0.9387144992526159,0.9385614385614386,0.9373134328358209,0.9401197604790419,0.9862080838323353,500,10,1,True
27,RawaPening,Winam,0.9036827195467422,0.8979489744872436,0.8559928443649374,0.957,0.9791621621621622,500,10,1,True
28,Rodman,Hartbeespoort,0.9823855057876195,0.9827501232134056,0.9908629441624366,0.9740518962075848,0.997808666989293,500,20,1,True
29,Rodman,Inle,0.9570858283433133,0.957,0.9551792828685259,0.959,0.987309,500,20,1,True
30,Rodman,Mula,0.9007633587786259,0.9058880308880309,0.91995841995842,0.8823529411764706,0.9570418771748365,500,20,1,True
31,Rodman,RawaPening,0.9597673291323315,0.9585414585414586,0.9330819981149858,0.9880239520958084,0.9934441117764471,500,20,1,True
32,Rodman,Valsequillo,0.9450327786182552,0.9454181271907862,0.9669762641898865,0.9240631163708086,0.9898762191977625,500,20,1,True
33,Rodman,Vembanad,0.9385307346326837,0.9385614385614386,0.93993993993994,0.937125748502994,0.9886661676646706,500,20,1,True
34,Rodman,Winam,0.9204322200392927,0.9189594797398699,0.9044401544401545,0.937,0.9807382382382384,500,20,1,True
35,Valsequillo,Hartbeespoort,0.976488244122061,0.9768358797437161,0.9789368104312939,0.9740518962075848,0.9979175048151021,200,10,10,True
36,Valsequillo,Inle,0.9628140703517588,0.963,0.9676767676767677,0.958,0.9896394999999999,200,10,10,True
37,Valsequillo,Mula,0.8778979907264297,0.8856177606177607,0.908315565031983,0.8494516450648056,0.9448502015002701,200,10,10,True
38,Valsequillo,RawaPening,0.9584139264990329,0.957042957042957,0.9296435272045028,0.9890219560878244,0.9929061876247506,200,10,10,True
39,Valsequillo,Rodman,0.9672830725462305,0.9658246656760773,0.9383624655013799,0.9980430528375733,0.9936384495953614,200,10,10,True
40,Valsequillo,Vembanad,0.9411764705882353,0.9415584415584416,0.9483282674772037,0.9341317365269461,0.9907365269461079,200,10,10,True
41,Valsequillo,Winam,0.8975095785440613,0.8929464732366184,0.8612132352941176,0.937,0.970994994994995,200,10,10,True
42,Vembanad,Hartbeespoort,0.9839195979899498,0.984228684080828,0.9908906882591093,0.9770459081836327,0.9988844122854583,500,10,5,True
43,Vembanad,Inle,0.958,0.958,0.958,0.958,0.9878105000000001,500,10,5,True
44,Vembanad,Mula,0.9056603773584906,0.9107142857142857,0.9269311064718163,0.8853439680957128,0.9526154930904202,500,10,5,True
45,Vembanad,RawaPening,0.9620991253644315,0.961038961038961,0.9375,0.9880239520958084,0.9929131736526947,500,10,5,True
46,Vembanad,Rodman,0.9531835205992509,0.9504705299653293,0.9138240574506283,0.9960861056751468,0.9885527423758557,500,10,5,True
47,Vembanad,Valsequillo,0.9375639713408394,0.9389083625438157,0.9744680851063829,0.903353057199211,0.9925498765001074,500,10,5,True
