,S2_img_id,S2_time,cloud_perc,date,location,S1_img_id,S1_time
0,COPERNICUS/S2_SR_HARMONIZED/20190504T023559_20190504T025011_T49MDM,1556938815000,6.608944,2019-05-04,RawaPening,,
1,COPERNICUS/S2_SR_HARMONIZED/20190519T023551_20190519T025224_T49MDM,1558234809000,3.204523,2019-05-19,RawaPening,,
2,COPERNICUS/S2_SR_HARMONIZED/20190519T023551_20190519T025224_T49MDN,1558234796000,1.219874,2019-05-19,RawaPening,,
3,COPERNICUS/S2_SR_HARMONIZED/20190529T023551_20190529T025705_T49MDM,1559098809000,4.137707,2019-05-29,RawaPening,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190529T221738_20190529T221803_027448_0318BF_BC28,1559168258000.0
4,COPERNICUS/S2_SR_HARMONIZED/20190608T023551_20190608T025940_T49MDN,1559962794000,3.507516,2019-06-08,RawaPening,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SSV_20190608T105746_20190608T105814_016603_01F40B_36F3,1559991466000.0
5,COPERNICUS/S2_SR_HARMONIZED/20190618T023551_20190618T025810_T49MDM,1560826810000,7.058756,2019-06-18,RawaPening,,
6,COPERNICUS/S2_SR_HARMONIZED/20190618T023551_20190618T025810_T49MDN,1560826796000,4.060126,2019-06-18,RawaPening,,
7,COPERNICUS/S2_SR_HARMONIZED/20190623T023559_20190623T025315_T49MDN,1561258800777,8.989057,2019-06-23,RawaPening,,
8,COPERNICUS/S2_SR_HARMONIZED/20190628T023551_20190628T025623_T49MDM,1561690811667,6.518552,2019-06-28,RawaPening,,
9,COPERNICUS/S2_SR_HARMONIZED/20190628T023551_20190628T025623_T49MDN,1561690797229,0.410046,2019-06-28,RawaPening,,
10,COPERNICUS/S2_SR_HARMONIZED/20190703T023559_20190703T025956_T49MDM,1562122815000,8.796129,2019-07-03,RawaPening,,
11,COPERNICUS/S2_SR_HARMONIZED/20190703T023559_20190703T025956_T49MDN,1562122805000,9.070223,2019-07-03,RawaPening,,
12,COPERNICUS/S2_SR_HARMONIZED/20190708T023551_20190708T025237_T49MDM,1562554812000,3.142199,2019-07-08,RawaPening,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190708T105829_20190708T105857_028024_032A3F_D13A,1562583509000.0
13,COPERNICUS/S2_SR_HARMONIZED/20190708T023551_20190708T025237_T49MDN,1562554797000,2.071559,2019-07-08,RawaPening,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190708T105829_20190708T105857_028024_032A3F_D13A,1562583509000.0
14,COPERNICUS/S2_SR_HARMONIZED/20190713T023559_20190713T025544_T49MDM,1562986815902,0.156177,2019-07-13,RawaPening,,
15,COPERNICUS/S2_SR_HARMONIZED/20190713T023559_20190713T025544_T49MDN,1562986801461,0.03045,2019-07-13,RawaPening,,
16,COPERNICUS/S2_SR_HARMONIZED/20190718T023551_20190718T025226_T49MDM,1563418811591,7.833402,2019-07-18,RawaPening,,
17,COPERNICUS/S2_SR_HARMONIZED/20190718T023551_20190718T025226_T49MDN,1563418797860,2.161386,2019-07-18,RawaPening,,
18,COPERNICUS/S2_SR_HARMONIZED/20190728T023551_20190728T025707_T49MDN,1564282797519,0.537444,2019-07-28,RawaPening,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190728T221742_20190728T221806_028323_033342_3B7D,1564352262000.0
19,COPERNICUS/S2_SR_HARMONIZED/20190802T023559_20190802T024924_T49MDM,1564714814982,9.652116,2019-08-02,RawaPening,,
20,COPERNICUS/S2_SR_HARMONIZED/20190802T023559_20190802T024924_T49MDN,1564714800533,0.708222,2019-08-02,RawaPening,,
21,COPERNICUS/S2_SR_HARMONIZED/20190812T023559_20190812T025542_T49MDM,1565578813873,7.852337,2019-08-12,RawaPening,,
22,COPERNICUS/S2_SR_HARMONIZED/20190812T023559_20190812T025542_T49MDN,1565578799428,3.510341,2019-08-12,RawaPening,,
23,COPERNICUS/S2_SR_HARMONIZED/20190817T023551_20190817T025810_T49MDN,1566010795672,0.53077,2019-08-17,RawaPening,,
24,COPERNICUS/S2_SR_HARMONIZED/20190901T023549_20190901T025007_T49MDM,1567306810528,3.493704,2019-09-01,RawaPening,,
25,COPERNICUS/S2_SR_HARMONIZED/20190901T023549_20190901T025007_T49MDN,1567306796082,4.530094,2019-09-01,RawaPening,,
26,COPERNICUS/S2_SR_HARMONIZED/20190906T023551_20190906T025231_T49MDN,1567738792122,1.178801,2019-09-06,RawaPening,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190906T105833_20190906T105901_028899_0346B2_2ECE,1567767513000.0
27,COPERNICUS/S2_SR_HARMONIZED/20190911T023549_20190911T025344_T49MDM,1568170808166,2.209452,2019-09-11,RawaPening,,
28,COPERNICUS/S2_SR_HARMONIZED/20190911T023549_20190911T025344_T49MDN,1568170793718,4.499249,2019-09-11,RawaPening,,
29,COPERNICUS/S2_SR_HARMONIZED/20190916T023551_20190916T025220_T49MDN,1568602791827,6.543396,2019-09-16,RawaPening,,
30,COPERNICUS/S2_SR_HARMONIZED/20190926T023551_20190926T025807_T49MDM,1569466808069,9.068666,2019-09-26,RawaPening,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190926T221745_20190926T221809_029198_0350E4_314A,1569536265000.0
31,COPERNICUS/S2_SR_HARMONIZED/20190926T023551_20190926T025807_T49MDN,1569466793620,6.986906,2019-09-26,RawaPening,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190926T221745_20190926T221809_029198_0350E4_314A,1569536265000.0
32,COPERNICUS/S2_SR_HARMONIZED/20191001T023549_20191001T024917_T49MDM,1569898807623,3.56757,2019-10-01,RawaPening,,
33,COPERNICUS/S2_SR_HARMONIZED/20191001T023549_20191001T024917_T49MDN,1569898793175,5.458743,2019-10-01,RawaPening,,
34,COPERNICUS/S2_SR_HARMONIZED/20191006T023551_20191006T025940_T49MDN,1570330794939,1.721645,2019-10-06,RawaPening,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SSV_20191006T105752_20191006T105820_018353_02293C_9A4F,1570359472000.0
35,COPERNICUS/S2_SR_HARMONIZED/20191011T023619_20191011T025609_T49MDM,1570762808220,3.338281,2019-10-11,RawaPening,,
36,COPERNICUS/S2_SR_HARMONIZED/20191021T023729_20191021T025654_T49MDM,1571626808285,7.994291,2019-10-21,RawaPening,,
