,S1_img_id,S1_time,S2_img_id,S2_time,cloud_perc,date,location
0,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190310T105824_20190310T105852_026274_02EFB9_DEB1,1552215504000,COPERNICUS/S2_SR_HARMONIZED/20190310T023541_20190310T025505_T49MDN,1552186787000,20.3146,2019-03-10,RawaPening
1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190330T221736_20190330T221800_026573_02FAA5_A9F8,1553984256000,COPERNICUS/S2_SR_HARMONIZED/20190330T023551_20190330T025759_T49MDM,1553914807000,20.795269,2019-03-30,RawaPening
2,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SSV_20190409T105743_20190409T105811_015728_01D848_3FF3,1554807463000,COPERNICUS/S2_SR_HARMONIZED/20190409T023551_20190409T025935_T49MDM,1554778808000,30.59891,2019-04-09,RawaPening
3,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190509T105826_20190509T105854_027149_030F7C_A97A,1557399506000,COPERNICUS/S2_SR_HARMONIZED/20190509T023551_20190509T025745_T49MDM,1557370810989,27.195696,2019-05-09,RawaPening
4,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190509T105826_20190509T105854_027149_030F7C_A97A,1557399506000,COPERNICUS/S2_SR_HARMONIZED/20190509T023551_20190509T025745_T49MDN,1557370796541,13.697447,2019-05-09,RawaPening
5,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190529T221738_20190529T221803_027448_0318BF_BC28,1559168258000,COPERNICUS/S2_SR_HARMONIZED/20190529T023551_20190529T025705_T49MDM,1559098809000,4.137707,2019-05-29,RawaPening
6,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190529T221738_20190529T221803_027448_0318BF_BC28,1559168258000,COPERNICUS/S2_SR_HARMONIZED/20190529T023551_20190529T025705_T49MDN,1559098795000,10.593836,2019-05-29,RawaPening
7,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SSV_20190608T105746_20190608T105814_016603_01F40B_36F3,1559991466000,COPERNICUS/S2_SR_HARMONIZED/20190608T023551_20190608T025940_T49MDM,1559962809000,10.668807,2019-06-08,RawaPening
8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SSV_20190608T105746_20190608T105814_016603_01F40B_36F3,1559991466000,COPERNICUS/S2_SR_HARMONIZED/20190608T023551_20190608T025940_T49MDN,1559962794000,3.507516,2019-06-08,RawaPening
9,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190708T105829_20190708T105857_028024_032A3F_D13A,1562583509000,COPERNICUS/S2_SR_HARMONIZED/20190708T023551_20190708T025237_T49MDM,1562554812000,3.142199,2019-07-08,RawaPening
