,S2_img_id,S2_time,cloud_perc,date,location,S1_img_id,S1_time
0,COPERNICUS/S2_SR_HARMONIZED/20190129T160521_20190129T161214_T17RMN,1548778511460,1.758232,2019-01-29,Rodman,,
1,COPERNICUS/S2_SR_HARMONIZED/20190208T160421_20190208T161051_T17RMN,1549642511453,1.001257,2019-02-08,Rodman,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190208T232908_20190208T232933_025845_02E03A_E072,1549668548000.0
2,COPERNICUS/S2_SR_HARMONIZED/20190429T155911_20190429T160305_T17RMN,1556554518241,6.595426,2019-04-29,Rodman,,
3,COPERNICUS/S2_SR_HARMONIZED/20190524T155829_20190524T161512_T17RMN,1558714523859,2.041123,2019-05-24,Rodman,,
4,COPERNICUS/S2_SR_HARMONIZED/20190529T155911_20190529T160405_T17RMN,1559146517369,0.334249,2019-05-29,Rodman,,
5,COPERNICUS/S2_SR_HARMONIZED/20191110T160459_20191110T160501_T17RMN,1573402514026,0.372162,2019-11-10,Rodman,,
6,COPERNICUS/S2_SR_HARMONIZED/20191120T160549_20191120T160546_T17RMN,1574266512184,0.003149,2019-11-20,Rodman,,
7,COPERNICUS/S2_SR_HARMONIZED/20191125T160611_20191125T161352_T17RMN,1574698514746,3.425184,2019-11-25,Rodman,,
8,COPERNICUS/S2_SR_HARMONIZED/20191130T160619_20191130T160655_T17RMN,1575130509715,0.019068,2019-11-30,Rodman,,
9,COPERNICUS/S2_SR_HARMONIZED/20191205T160641_20191205T161443_T17RMN,1575562512386,1.556853,2019-12-05,Rodman,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20191205T232917_20191205T232942_030220_037450_BA6D,1575588557000.0
10,COPERNICUS/S2_SR_HARMONIZED/20191215T160651_20191215T160836_T17RMN,1576426509464,0.002973,2019-12-15,Rodman,,
11,COPERNICUS/S2_SR_HARMONIZED/20200203T160451_20200203T161119_T17RMN,1580746506462,3.235872,2020-02-03,Rodman,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200203T232915_20200203T232940_031095_0392BD_C61E,1580772555000.0
