,S1_img_id,S1_time,S2_img_id,S2_time,cloud_perc,date,location
0,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190208T232908_20190208T232933_025845_02E03A_E072,1549668548000,COPERNICUS/S2_SR_HARMONIZED/20190208T160421_20190208T161051_T17RMN,1549642511453,1.001257,2019-02-08,Rodman
1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20191205T232917_20191205T232942_030220_037450_BA6D,1575588557000,COPERNICUS/S2_SR_HARMONIZED/20191205T160641_20191205T161443_T17RMN,1575562512386,1.556853,2019-12-05,Rodman
2,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200203T232915_20200203T232940_031095_0392BD_C61E,1580772555000,COPERNICUS/S2_SR_HARMONIZED/20200203T160451_20200203T161119_T17RMN,1580746506462,3.235872,2020-02-03,Rodman
3,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200403T232915_20200403T232940_031970_03B12E_AE64,1585956555000,COPERNICUS/S2_SR_HARMONIZED/20200403T155901_20200403T160717_T17RMN,1585930510742,3.032767,2020-04-03,Rodman
4,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200801T232921_20200801T232946_033720_03E87E_4D55,1596324561000,COPERNICUS/S2_SR_HARMONIZED/20200801T155911_20200801T160644_T17RMN,1596298520477,1.676939,2020-08-01,Rodman
5,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210128T232921_20210128T232946_036345_0443C5_7997,1611876561000,COPERNICUS/S2_SR_HARMONIZED/20210128T160521_20210128T161127_T17RMN,1611850514963,5.902044,2021-01-28,Rodman
6,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210528T232923_20210528T232948_038095_047EF3_24D6,1622244563000,COPERNICUS/S2_SR_HARMONIZED/20210528T155901_20210528T160816_T17RMN,1622218515410,14.609133,2021-05-28,Rodman
7,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210727T232927_20210727T232952_038970_04991D_AEE6,1627428567000,COPERNICUS/S2_SR_HARMONIZED/20210727T155911_20210727T160753_T17RMN,1627402517993,34.970504,2021-07-27,Rodman
8,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210925T232930_20210925T232955_039845_04B6AA_933A,1632612570000,COPERNICUS/S2_SR_HARMONIZED/20210925T160021_20210925T161233_T17RMN,1632586518222,38.489994,2021-09-25,Rodman
9,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20211124T232929_20211124T232954_040720_04D50D_384E,1637796569000,COPERNICUS/S2_SR_HARMONIZED/20211124T160611_20211124T161250_T17RMN,1637770514663,16.32195,2021-11-24,Rodman
10,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220722T232933_20220722T232958_044220_05471D_856B,1658532573000,COPERNICUS/S2_SR_HARMONIZED/20220722T155911_20220722T161116_T17RMN,1658506525635,23.851231,2022-07-22,Rodman
11,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230319T232932_20230319T232957_047720_05BB74_3B60,1679268572000,COPERNICUS/S2_SR_HARMONIZED/20230319T155951_20230319T161230_T17RMN,1679242512849,38.344243,2023-03-19,Rodman
12,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230915T232941_20230915T233006_050345_060FB6_8F4A,1694820581000,COPERNICUS/S2_SR_HARMONIZED/20230915T155901_20230915T160959_T17RMN,1694794518534,36.963648,2023-09-15,Rodman
13,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20251103T232928_20251103T232953_061720_07B681_F99F,1762212568000,COPERNICUS/S2_SR_HARMONIZED/20251103T160441_20251103T160523_T17RMN,1762186527266,0.640054,2025-11-03,Rodman
