,S1_img_id,S1_time,S2_img_id,S2_time,cloud_perc,date,location
0,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190107T003913_20190107T003938_014381_01AC38_A553,1546821553000,COPERNICUS/S2_SR_HARMONIZED/20190107T170701_20190107T171114_T14QNF,1546881515000,4.705829,2019-01-07,Valsequillo
1,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190107T003913_20190107T003938_014381_01AC38_A553,1546821553000,COPERNICUS/S2_SR_HARMONIZED/20190107T170701_20190107T171114_T14QNG,1546881500897,0.012322,2019-01-07,Valsequillo
2,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190122T122609_20190122T122634_025590_02D711_6044,1548159969000,COPERNICUS/S2_SR_HARMONIZED/20190122T170619_20190122T171814_T14QNF,1548177520171,0.001405,2019-01-22,Valsequillo
3,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190122T122609_20190122T122634_025590_02D711_6044,1548159969000,COPERNICUS/S2_SR_HARMONIZED/20190122T170619_20190122T171814_T14QNG,1548177506325,0.000185,2019-01-22,Valsequillo
4,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190206T004010_20190206T004035_025802_02DEA5_4345,1549413610000,COPERNICUS/S2_SR_HARMONIZED/20190206T170501_20190206T170833_T14QNF,1549473517029,0.000266,2019-02-06,Valsequillo
5,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190206T004010_20190206T004035_025802_02DEA5_4345,1549413610000,COPERNICUS/S2_SR_HARMONIZED/20190206T170501_20190206T170833_T14QNG,1549473502758,0.016782,2019-02-06,Valsequillo
6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190221T122514_20190221T122539_015044_01C1C9_A9AE,1550751914000,COPERNICUS/S2_SR_HARMONIZED/20190221T170329_20190221T170828_T14QNF,1550769519407,0.006086,2019-02-21,Valsequillo
7,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190221T122514_20190221T122539_015044_01C1C9_A9AE,1550751914000,COPERNICUS/S2_SR_HARMONIZED/20190221T170329_20190221T170828_T14QNG,1550769505137,0.01571,2019-02-21,Valsequillo
8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190308T003911_20190308T003936_015256_01C8BA_6DE7,1552005551000,COPERNICUS/S2_SR_HARMONIZED/20190308T170131_20190308T171406_T14QNF,1552065514608,0.000448,2019-03-08,Valsequillo
9,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190308T003911_20190308T003936_015256_01C8BA_6DE7,1552005551000,COPERNICUS/S2_SR_HARMONIZED/20190308T170131_20190308T171406_T14QNG,1552065500000,1.821106,2019-03-08,Valsequillo
10,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190323T122608_20190323T122633_026465_02F6AD_5CE7,1553343968000,COPERNICUS/S2_SR_HARMONIZED/20190323T165949_20190323T170554_T14QNG,1553361506000,12.304894,2019-03-23,Valsequillo
11,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190407T004011_20190407T004036_026677_02FE6A_AA39,1554597611000,COPERNICUS/S2_SR_HARMONIZED/20190407T165851_20190407T171414_T14QNF,1554657521000,3.397613,2019-04-07,Valsequillo
12,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190422T122515_20190422T122540_015919_01DE8A_FD0A,1555935915000,COPERNICUS/S2_SR_HARMONIZED/20190422T165849_20190422T170804_T14QNG,1555953512000,13.363782,2019-04-22,Valsequillo
13,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190507T003913_20190507T003938_016131_01E59C_1464,1557189553000,COPERNICUS/S2_SR_HARMONIZED/20190507T165901_20190507T171141_T14QNF,1557249524012,2.823727,2019-05-07,Valsequillo
14,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190507T003913_20190507T003938_016131_01E59C_1464,1557189553000,COPERNICUS/S2_SR_HARMONIZED/20190507T165901_20190507T171141_T14QNG,1557249509745,0.791099,2019-05-07,Valsequillo
15,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190621T122519_20190621T122544_016794_01F9B5_1F39,1561119919000,COPERNICUS/S2_SR_HARMONIZED/20190621T165859_20190621T171322_T14QNF,1561137528000,12.215523,2019-06-21,Valsequillo
16,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190621T122519_20190621T122544_016794_01F9B5_1F39,1561119919000,COPERNICUS/S2_SR_HARMONIZED/20190621T165859_20190621T171322_T14QNG,1561137513000,6.019131,2019-06-21,Valsequillo
17,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190706T003917_20190706T003942_017006_01FFEA_6032,1562373557000,COPERNICUS/S2_SR_HARMONIZED/20190706T165901_20190706T171359_T14QNF,1562433525155,3.786416,2019-07-06,Valsequillo
18,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190706T003917_20190706T003942_017006_01FFEA_6032,1562373557000,COPERNICUS/S2_SR_HARMONIZED/20190706T165901_20190706T171359_T14QNG,1562433510901,5.872785,2019-07-06,Valsequillo
19,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190721T122614_20190721T122639_028215_032FF8_EB9A,1563711974000,COPERNICUS/S2_SR_HARMONIZED/20190721T165859_20190721T171631_T14QNG,1563729514463,19.85293,2019-07-21,Valsequillo
20,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20191004T004020_20191004T004045_029302_03546D_EC11,1570149620000,COPERNICUS/S2_SR_HARMONIZED/20191004T170141_20191004T171309_T14QNF,1570209522240,11.916036,2019-10-04,Valsequillo
21,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20191103T003921_20191103T003946_018756_0235A1_3245,1572741561000,COPERNICUS/S2_SR_HARMONIZED/20191103T170451_20191103T170811_T14QNF,1572801523115,19.57024,2019-11-03,Valsequillo
22,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20191118T122617_20191118T122642_029965_036B8B_9EA8,1574079977000,COPERNICUS/S2_SR_HARMONIZED/20191118T170609_20191118T171457_T14QNF,1574097518117,19.423518,2019-11-18,Valsequillo
23,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20191203T004019_20191203T004044_030177_0372CD_BFE5,1575333619000,COPERNICUS/S2_SR_HARMONIZED/20191203T170701_20191203T171100_T14QNF,1575393518415,0.059489,2019-12-03,Valsequillo
24,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20191203T004019_20191203T004044_030177_0372CD_BFE5,1575333619000,COPERNICUS/S2_SR_HARMONIZED/20191203T170701_20191203T171100_T14QNG,1575393504145,0.124525,2019-12-03,Valsequillo
25,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20191218T122523_20191218T122548_019419_024AF1_F356,1576671923000,COPERNICUS/S2_SR_HARMONIZED/20191218T170719_20191218T171139_T14QNF,1576689514957,11.630504,2019-12-18,Valsequillo
