,S2_img_id,S2_time,cloud_perc,date,location,S1_img_id,S1_time
0,COPERNICUS/S2_SR_HARMONIZED/20190104T051211_20190104T052230_T43PFL,1546579575695,0.030173,2019-01-04,Vembanad,,
1,COPERNICUS/S2_SR_HARMONIZED/20190109T051209_20190109T051714_T43PFL,1547011579981,0.001922,2019-01-09,Vembanad,,
2,COPERNICUS/S2_SR_HARMONIZED/20190119T051129_20190119T051337_T43PFL,1547875575000,17.406761,2019-01-19,Vembanad,,
3,COPERNICUS/S2_SR_HARMONIZED/20190119T051129_20190119T052611_T43PFL,1547875582000,23.383094,2019-01-19,Vembanad,,
4,COPERNICUS/S2_SR_HARMONIZED/20190124T051111_20190124T051109_T43PFL,1548307577000,12.176446,2019-01-24,Vembanad,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190124T004043_20190124T004108_025612_02D7DC_C80F,1548290443000.0
5,COPERNICUS/S2_SR_HARMONIZED/20190129T051049_20190129T052219_T43PFL,1548739581000,3.36948,2019-01-29,Vembanad,,
6,COPERNICUS/S2_SR_HARMONIZED/20190203T051021_20190203T052412_T43PFL,1549171578000,4.227175,2019-02-03,Vembanad,,
7,COPERNICUS/S2_SR_HARMONIZED/20190208T050959_20190208T052314_T43PFL,1549603581000,8.305735,2019-02-08,Vembanad,,
8,COPERNICUS/S2_SR_HARMONIZED/20190213T050921_20190213T052353_T43PFL,1550035573478,1.333063,2019-02-13,Vembanad,,
9,COPERNICUS/S2_SR_HARMONIZED/20190213T050921_20190213T052610_T43PFL,1550035580367,0.507827,2019-02-13,Vembanad,,
10,COPERNICUS/S2_SR_HARMONIZED/20190218T050849_20190218T051729_T43PFL,1550467580000,9.789628,2019-02-18,Vembanad,,
11,COPERNICUS/S2_SR_HARMONIZED/20190223T050811_20190223T051829_T43PFL,1550899577000,7.180657,2019-02-23,Vembanad,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190223T004010_20190223T004042_015066_01C27A_2E2E,1550882410000.0
12,COPERNICUS/S2_SR_HARMONIZED/20190310T050649_20190310T051606_T43PFL,1552195578546,1.354695,2019-03-10,Vembanad,,
13,COPERNICUS/S2_SR_HARMONIZED/20190325T050651_20190325T051922_T43PFL,1553491580069,0.281952,2019-03-25,Vembanad,,
