,S1_img_id,S1_time,S2_img_id,S2_time,cloud_perc,date,location
0,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190102T160430_20190102T160455_025300_02CC92_1689,1546445070000,COPERNICUS/S2_SR_HARMONIZED/20190102T075321_20190102T075634_T36MXE,1546416608000,7.954675,2019-01-02,Winam
1,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190122T032731_20190122T032756_014601_01B34A_9A7F,1548127651000,COPERNICUS/S2_SR_HARMONIZED/20190122T075221_20190122T075539_T36MXE,1548144610000,5.329528,2019-01-22,Winam
2,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190226T155625_20190226T155650_026102_02E983_30F0,1551196585000,COPERNICUS/S2_SR_HARMONIZED/20190226T074859_20190226T080814_T36MXE,1551168613000,6.699848,2019-02-26,Winam
3,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190303T160429_20190303T160454_026175_02EC0D_4CD0,1551629069000,COPERNICUS/S2_SR_HARMONIZED/20190303T074821_20190303T080235_T36MXE,1551600609000,6.85874,2019-03-03,Winam
4,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190318T031926_20190318T031951_015403_01CD7C_CDDD,1552879166000,COPERNICUS/S2_SR_HARMONIZED/20190318T074639_20190318T080921_T36MXE,1552896613000,1.690927,2019-03-18,Winam
5,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190323T032730_20190323T032755_015476_01CFD5_9BF5,1553311650000,COPERNICUS/S2_SR_HARMONIZED/20190323T074611_20190323T080452_T36MXE,1553328612000,4.665963,2019-03-23,Winam
6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190517T031928_20190517T031953_016278_01EA29_44B7,1558063168000,COPERNICUS/S2_SR_HARMONIZED/20190517T074619_20190517T075858_T36MXE,1558080620000,13.434842,2019-05-17,Winam
7,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190522T032733_20190522T032758_016351_01EC69_FD12,1558495653000,COPERNICUS/S2_SR_HARMONIZED/20190522T074621_20190522T080757_T36MXE,1558512617000,20.109628,2019-05-22,Winam
8,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190701T160434_20190701T160459_027925_032728_C3EA,1561997074000,COPERNICUS/S2_SR_HARMONIZED/20190701T074621_20190701T080914_T36MXE,1561968619166,14.479797,2019-07-01,Winam
9,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190716T031931_20190716T031956_017153_02044C_D973,1563247171000,COPERNICUS/S2_SR_HARMONIZED/20190716T074619_20190716T080657_T36MXE,1563264623159,39.770403,2019-07-16,Winam
10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190721T032736_20190721T032801_017226_02065D_74CF,1563679656000,COPERNICUS/S2_SR_HARMONIZED/20190721T074621_20190721T080458_T36MXE,1563696619523,21.376193,2019-07-21,Winam
11,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190825T155633_20190825T155658_028727_0340B0_DA96,1566748593000,COPERNICUS/S2_SR_HARMONIZED/20190825T074619_20190825T080100_T36MXE,1566720619095,0.160842,2019-08-25,Winam
