,location,obs_date,0,1
0,Hartbeespoort,2020-01-05,11.0,12.0
1,Hartbeespoort,2020-01-27,12.0,11.0
2,Hartbeespoort,2020-03-05,12.0,11.0
3,Hartbeespoort,2020-03-27,21.0,2.0
4,Hartbeespoort,2020-05-04,14.0,9.0
5,Hartbeespoort,2020-05-14,13.0,9.0
6,Hartbeespoort,2020-05-16,17.0,6.0
7,Hartbeespoort,2020-07-03,15.0,8.0
8,Hartbeespoort,2020-09-11,11.0,11.0
9,Hartbeespoort,2020-12-30,11.0,12.0
10,Inle,2019-02-07,14.0,6.0
11,Inle,2019-04-08,10.0,5.0
12,Inle,2019-10-20,10.0,10.0
13,Inle,2019-12-19,11.0,9.0
14,Inle,2020-02-17,10.0,9.0
15,Inle,2020-04-17,14.0,5.0
16,Inle,2020-10-14,9.0,11.0
17,Inle,2020-11-28,12.0,8.0
18,Inle,2020-12-13,11.0,8.0
19,Inle,2021-01-27,14.0,7.0
20,Inle,2021-02-11,15.0,5.0
21,Inle,2021-04-12,16.0,4.0
22,Mula,2019-01-10,14.0,5.0
23,Mula,2019-03-11,12.0,6.0
24,Mula,2020-05-04,13.0,11.0
25,Mula,2021-02-28,12.0,12.0
26,Mula,2021-04-29,13.0,5.0
27,RawaPening,2019-03-30,9.0,11.0
28,RawaPening,2019-05-29,12.0,8.0
29,RawaPening,2019-07-28,12.0,7.0
30,RawaPening,2019-09-06,12.0,8.0
31,RawaPening,2019-11-05,13.0,7.0
32,RawaPening,2020-07-02,10.0,10.0
33,RawaPening,2020-08-31,11.0,9.0
34,RawaPening,2020-09-20,12.0,8.0
35,RawaPening,2020-11-19,10.0,10.0
36,RawaPening,2021-02-27,13.0,7.0
37,RawaPening,2021-03-19,10.0,10.0
38,Rodman,2019-02-08,18.0,18.0
39,Rodman,2019-09-06,21.0,15.0
40,Rodman,2019-12-05,31.0,5.0
41,Rodman,2020-02-03,32.0,4.0
42,Rodman,2020-04-03,23.0,14.0
43,Rodman,2020-08-01,21.0,15.0
44,Rodman,2021-01-28,21.0,15.0
45,Valsequillo,2020-01-17,8.0,12.0
46,Valsequillo,2020-02-16,10.0,8.0
47,Valsequillo,2020-03-02,9.0,12.0
48,Valsequillo,2020-03-17,9.0,11.0
49,Valsequillo,2020-04-01,14.0,6.0
50,Valsequillo,2020-05-01,10.0,9.0
51,Valsequillo,2020-05-16,4.0,11.0
52,Valsequillo,2020-06-15,10.0,10.0
53,Valsequillo,2020-10-13,10.0,10.0
54,Valsequillo,2020-11-12,10.0,9.0
55,Valsequillo,2020-12-12,9.0,10.0
56,Valsequillo,2020-12-27,10.0,10.0
57,Vembanad,2019-01-24,30.0,10.0
58,Vembanad,2019-02-23,24.0,16.0
59,Vembanad,2019-11-20,24.0,16.0
60,Vembanad,2020-01-19,21.0,19.0
61,Vembanad,2020-12-14,26.0,14.0
62,Vembanad,2021-03-14,23.0,17.0
63,Winam,2020-01-17,17.0,3.0
64,Winam,2020-02-21,16.0,4.0
65,Winam,2020-03-12,14.0,6.0
66,Winam,2020-04-26,17.0,3.0
67,Winam,2020-05-11,16.0,4.0
68,Winam,2020-06-25,16.0,4.0
69,Winam,2020-07-10,15.0,5.0
70,Winam,2020-08-19,14.0,6.0
71,Winam,2020-09-13,16.0,4.0
72,Winam,2020-10-23,17.0,3.0
73,Winam,2020-11-12,15.0,5.0
74,Winam,2020-12-22,17.0,3.0
