,location,obs_date
0,RawaPening,2019-03-30
1,RawaPening,2019-05-29
2,RawaPening,2019-07-28
3,RawaPening,2019-09-06
4,RawaPening,2019-11-05
5,RawaPening,2020-07-02
6,RawaPening,2020-08-31
7,RawaPening,2020-09-20
8,RawaPening,2020-11-19
9,RawaPening,2021-02-27
10,RawaPening,2021-03-19
0,Inle,2019-02-07
1,Inle,2019-04-08
2,Inle,2019-10-20
3,Inle,2019-12-19
4,Inle,2020-02-17
5,Inle,2020-04-17
6,Inle,2020-10-14
7,Inle,2020-11-28
8,Inle,2020-12-13
9,Inle,2021-01-27
10,Inle,2021-02-11
11,Inle,2021-04-12
0,Hartbeespoort,2020-01-05
1,Hartbeespoort,2020-01-27
2,Hartbeespoort,2020-03-05
3,Hartbeespoort,2020-03-27
4,Hartbeespoort,2020-05-04
5,Hartbeespoort,2020-05-14
6,Hartbeespoort,2020-05-16
7,Hartbeespoort,2020-07-03
8,Hartbeespoort,2020-09-11
9,Hartbeespoort,2020-12-30
0,Rodman,2019-02-08
1,Rodman,2019-09-06
2,Rodman,2019-12-05
3,Rodman,2020-02-03
4,Rodman,2020-04-03
5,Rodman,2020-08-01
6,Rodman,2021-01-28
0,Valsequillo,2020-01-17
1,Valsequillo,2020-02-16
2,Valsequillo,2020-03-02
3,Valsequillo,2020-03-17
4,Valsequillo,2020-04-01
5,Valsequillo,2020-05-01
6,Valsequillo,2020-05-16
7,Valsequillo,2020-06-15
8,Valsequillo,2020-10-13
9,Valsequillo,2020-11-12
10,Valsequillo,2020-12-12
11,Valsequillo,2020-12-27
0,Vembanad,2019-01-24
1,Vembanad,2019-02-23
2,Vembanad,2019-11-20
3,Vembanad,2020-01-19
4,Vembanad,2020-12-14
5,Vembanad,2021-03-14
0,Winam,2020-01-17
1,Winam,2020-02-21
2,Winam,2020-03-12
3,Winam,2020-04-26
4,Winam,2020-05-11
5,Winam,2020-06-25
6,Winam,2020-07-10
7,Winam,2020-08-19
8,Winam,2020-09-13
9,Winam,2020-10-23
10,Winam,2020-11-12
11,Winam,2020-12-22
0,Mula,2019-01-10
1,Mula,2019-03-11
2,Mula,2020-05-04
3,Mula,2021-02-28
4,Mula,2021-04-29
