,location,obs_date,1,2,3,4
0,Hartbeespoort,2020-01-05,5,6,12,0
1,Hartbeespoort,2020-01-27,5,6,11,1
2,Hartbeespoort,2020-03-05,5,6,11,1
3,Hartbeespoort,2020-03-27,6,6,2,9
4,Hartbeespoort,2020-05-04,6,6,9,2
5,Hartbeespoort,2020-05-14,5,6,9,2
6,Hartbeespoort,2020-05-16,5,6,6,6
7,Hartbeespoort,2020-07-03,4,10,8,1
8,Hartbeespoort,2020-09-11,5,6,11,0
9,Hartbeespoort,2020-12-30,4,6,12,1
10,Inle,2019-02-07,9,5,6,0
11,Inle,2019-04-08,5,5,5,0
12,Inle,2019-10-20,5,5,10,0
13,Inle,2019-12-19,5,6,9,0
14,Inle,2020-02-17,4,6,9,0
15,Inle,2020-04-17,9,5,5,0
16,Inle,2020-10-14,4,5,11,0
17,Inle,2020-11-28,6,6,8,0
18,Inle,2020-12-13,6,5,8,0
19,Inle,2021-01-27,9,5,7,0
20,Inle,2021-02-11,6,5,5,4
21,Inle,2021-04-12,6,10,4,0
22,Mula,2019-01-10,7,7,5,0
23,Mula,2019-03-11,6,6,6,0
24,Mula,2020-05-04,7,6,11,0
25,Mula,2021-02-28,6,6,12,0
26,Mula,2021-04-29,7,6,5,0
27,RawaPening,2019-03-30,4,5,11,0
28,RawaPening,2019-05-29,7,5,8,0
29,RawaPening,2019-07-28,8,4,7,0
30,RawaPening,2019-09-06,6,6,8,0
31,RawaPening,2019-11-05,6,7,7,0
32,RawaPening,2020-07-02,5,5,10,0
33,RawaPening,2020-08-31,6,5,9,0
34,RawaPening,2020-09-20,6,6,8,0
35,RawaPening,2020-11-19,5,5,10,0
36,RawaPening,2021-02-27,5,8,7,0
37,RawaPening,2021-03-19,2,8,10,0
38,Rodman,2019-02-08,8,10,18,0
39,Rodman,2019-09-06,8,13,15,0
40,Rodman,2019-12-05,13,18,5,0
41,Rodman,2020-02-03,14,18,4,0
42,Rodman,2020-04-03,12,11,14,0
43,Rodman,2020-08-01,8,13,15,0
44,Rodman,2021-01-28,8,13,15,0
45,Valsequillo,2020-01-17,3,5,12,0
46,Valsequillo,2020-02-16,5,5,8,0
47,Valsequillo,2020-03-02,4,5,12,0
48,Valsequillo,2020-03-17,4,5,11,0
49,Valsequillo,2020-04-01,4,5,6,5
50,Valsequillo,2020-05-01,5,5,9,0
51,Valsequillo,2020-05-16,0,4,11,0
52,Valsequillo,2020-06-15,4,6,10,0
53,Valsequillo,2020-10-13,5,5,10,0
54,Valsequillo,2020-11-12,5,5,9,0
55,Valsequillo,2020-12-12,4,5,10,0
56,Valsequillo,2020-12-27,5,5,10,0
57,Vembanad,2019-01-24,12,13,10,5
58,Vembanad,2019-02-23,14,10,16,0
59,Vembanad,2019-11-20,12,12,16,0
60,Vembanad,2020-01-19,11,10,19,0
61,Vembanad,2020-12-14,13,13,14,0
62,Vembanad,2021-03-14,12,11,17,0
63,Winam,2020-01-17,7,5,3,5
64,Winam,2020-02-21,5,5,4,6
65,Winam,2020-03-12,6,5,6,3
66,Winam,2020-04-26,5,7,3,5
67,Winam,2020-05-11,4,6,4,6
68,Winam,2020-06-25,5,6,4,5
69,Winam,2020-07-10,5,5,5,5
70,Winam,2020-08-19,5,5,6,4
71,Winam,2020-09-13,6,5,4,5
72,Winam,2020-10-23,5,6,3,6
73,Winam,2020-11-12,5,6,5,4
74,Winam,2020-12-22,6,7,3,4
