label_id,location,class_label
IN0074_20211208,Inle,LEV
IN0075_20211208,Inle,LEV
IN0077_20230117,Inle,LEV
IN0078_20230117,Inle,LEV
IN0079_20211208,Inle,LEV
IN0079_20230117,Inle,LEV
IN0080_20230117,Inle,LEV
IN0081_20230117,Inle,LEV
IN0082_20230117,Inle,LEV
IN0083_20230117,Inle,LEV
IN0084_20230117,Inle,LEV
IN0085_20230117,Inle,LEV
IN0089_20230117,Inle,LEV
IN0090_20230117,Inle,LEV
IN0091_20230117,Inle,LEV
IN0144_20201213,Inle,LEV
IN0146_20201213,Inle,LEV
IN0147_20201213,Inle,LEV
IN0148_20201213,Inle,LEV
IN0149_20201213,Inle,LEV
IN0150_20201213,Inle,LEV
IN0151_20201213,Inle,LEV
IN0153_20201213,Inle,LEV
IN0154_20201213,Inle,LEV
IN0165_20201213,Inle,LEV
IN0166_20201014,Inle,LEV
IN0170_20201014,Inle,LEV
IN0172_20201014,Inle,LEV
IN0173_20201014,Inle,LEV
IN0174_20201014,Inle,LEV
IN0176_20201014,Inle,LEV
IN0177_20201014,Inle,LEV
IN0178_20201014,Inle,LEV
IN0179_20201014,Inle,LEV
IN0180_20201014,Inle,LEV
IN0181_20201014,Inle,LEV
IN0182_20201014,Inle,LEV
IN0183_20201014,Inle,LEV
IN0184_20201014,Inle,LEV
IN0185_20201014,Inle,LEV
IN0187_20201014,Inle,LEV
IN0188_20201014,Inle,LEV
IN0189_20201014,Inle,LEV
IN0190_20201014,Inle,LEV
IN0191_20201014,Inle,LEV
IN0192_20201014,Inle,LEV
IN0193_20201014,Inle,LEV
IN0194_20201014,Inle,LEV
IN0196_20201014,Inle,LEV
IN0197_20201014,Inle,LEV
IN0198_20201014,Inle,LEV
IN0199_20201014,Inle,LEV
IN0200_20201014,Inle,LEV
IN0201_20201014,Inle,LEV
IN0201_20211009,Inle,LEV
IN0202_20201014,Inle,LEV
IN0202_20211009,Inle,LEV
IN0203_20201014,Inle,LEV
IN0203_20211009,Inle,LEV
IN0204_20201014,Inle,LEV
IN0204_20211009,Inle,LEV
IN0205_20211009,Inle,LEV
IN0206_20211009,Inle,LEV
IN0208_20211009,Inle,LEV
IN0209_20211009,Inle,LEV
IN0212_20211009,Inle,LEV
IN0213_20201014,Inle,LEV
IN0213_20211009,Inle,LEV
IN0214_20201014,Inle,LEV
IN0214_20211009,Inle,LEV
IN0215_20211009,Inle,LEV
IN0216_20201014,Inle,LEV
IN0216_20211009,Inle,LEV
IN0217_20201014,Inle,LEV
IN0217_20211009,Inle,LEV
IN0218_20201014,Inle,LEV
IN0218_20211009,Inle,LEV
IN0219_20211009,Inle,LEV
IN0220_20211009,Inle,LEV
IN0221_20211009,Inle,LEV
IN0222_20211009,Inle,LEV
IN0223_20211009,Inle,LEV
IN0225_20211009,Inle,LEV
IN0226_20211009,Inle,LEV
IN0228_20211009,Inle,LEV
IN0229_20211009,Inle,LEV
IN0230_20211009,Inle,LEV
IN0233_20211009,Inle,LEV
IN0235_20211009,Inle,LEV
IN0236_20211009,Inle,LEV
IN0002_20230117,Inle,floating_plants
IN0003_20230117,Inle,floating_plants
IN0005_20230117,Inle,floating_plants
IN0006_20230117,Inle,floating_plants
IN0007_20230117,Inle,floating_plants
IN0008_20230117,Inle,floating_plants
IN0009_20230117,Inle,floating_plants
IN0010_20230117,Inle,floating_plants
IN0011_20230117,Inle,floating_plants
IN0012_20230117,Inle,floating_plants
IN0013_20230117,Inle,floating_plants
IN0014_20230117,Inle,floating_plants
IN0015_20230117,Inle,floating_plants
IN0015_20250506,Inle,floating_plants
IN0016_20230117,Inle,floating_plants
IN0018_20230117,Inle,floating_plants
IN0019_20230117,Inle,floating_plants
IN0020_20230117,Inle,floating_plants
IN0021_20230117,Inle,floating_plants
IN0022_20230117,Inle,floating_plants
IN0023_20230117,Inle,floating_plants
IN0025_20201213,Inle,floating_plants
IN0025_20211208,Inle,floating_plants
IN0026_20211009,Inle,floating_plants
IN0026_20211208,Inle,floating_plants
IN0026_20230117,Inle,floating_plants
IN0027_20211208,Inle,floating_plants
IN0027_20230117,Inle,floating_plants
IN0028_20211009,Inle,floating_plants
IN0028_20211208,Inle,floating_plants
IN0028_20230117,Inle,floating_plants
IN0029_20211208,Inle,floating_plants
IN0029_20230117,Inle,floating_plants
IN0030_20211208,Inle,floating_plants
IN0031_20211208,Inle,floating_plants
IN0031_20230117,Inle,floating_plants
IN0032_20201213,Inle,floating_plants
IN0032_20211208,Inle,floating_plants
IN0033_20211208,Inle,floating_plants
IN0033_20230117,Inle,floating_plants
IN0034_20211208,Inle,floating_plants
IN0034_20230117,Inle,floating_plants
IN0035_20211208,Inle,floating_plants
IN0035_20230117,Inle,floating_plants
IN0036_20211208,Inle,floating_plants
IN0036_20230117,Inle,floating_plants
IN0037_20211208,Inle,floating_plants
IN0037_20230117,Inle,floating_plants
IN0038_20211208,Inle,floating_plants
IN0041_20201213,Inle,floating_plants
IN0042_20201213,Inle,floating_plants
IN0045_20201213,Inle,floating_plants
IN0046_20201213,Inle,floating_plants
IN0070_20201213,Inle,floating_plants
IN0071_20201014,Inle,floating_plants
IN0072_20201014,Inle,floating_plants
IN0075_20201014,Inle,floating_plants
IN0075_20211009,Inle,floating_plants
IN0077_20201014,Inle,floating_plants
IN0077_20211009,Inle,floating_plants
IN0078_20211009,Inle,floating_plants
IN0086_20201213,Inle,floating_plants
IN0054_20230117,Inle,open_water
IN0055_20230117,Inle,open_water
IN0056_20230117,Inle,open_water
IN0063_20230117,Inle,open_water
IN0064_20230117,Inle,open_water
IN0076_20230117,Inle,open_water
IN0097_20201213,Inle,open_water
IN0098_20201213,Inle,open_water
IN0101_20201213,Inle,open_water
IN0102_20201213,Inle,open_water
IN0105_20201213,Inle,open_water
IN0106_20201213,Inle,open_water
IN0107_20201213,Inle,open_water
IN0185_20211009,Inle,open_water
IN0192_20211009,Inle,open_water
IN0195_20211009,Inle,open_water
IN0236_20201014,Inle,open_water
IN0259_20201014,Inle,open_water
RA0158_20190728,RawaPening,LEV
RA0195_20240810,RawaPening,LEV
WI0266_20241126,Winam,LEV
