system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,class_int,class_label,label_id,latitude,lc,location,longitude,obs_date,.geo
1_510_0,64,18,154,268,136,139,0,121,64,0,3,floating_plants,IN0011_20250121,20.592435503349577,1,Inle,96.92404355481236,2025-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_560_0,12,7,48,148,63,56,0,7,1,0,2,open_water,IN0079_20250121,20.52165381536535,0,Inle,96.91742036334998,2025-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_561_0,14,16,78,178,87,61,7,9,0,2,2,open_water,IN0080_20250121,20.51329366716178,0,Inle,96.91750617335008,2025-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_563_0,8,3,80,196,94,68,0,0,0,0,2,open_water,IN0082_20250121,20.50742520964133,0,Inle,96.9226064959162,2025-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_564_0,14,14,74,151,74,45,0,0,0,0,2,open_water,IN0083_20250121,20.50238057155371,0,Inle,96.9202467209142,2025-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_565_0,6,0,65,153,73,66,0,0,0,0,2,open_water,IN0088_20250121,20.49012000070793,0,Inle,96.92056871012642,2025-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_790_0,20,10,153,208,87,81,0,8,0,0,2,open_water,IN0051_20230117,20.489175292897873,0,Inle,96.92007489920208,2023-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_799_0,15,22,104,100,23,36,0,0,0,0,2,open_water,IN0060_20230117,20.52462798670902,0,Inle,96.91949156470928,2023-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1193_0,8,0,76,251,89,75,19,33,20,17,2,open_water,IN0094_20201213,20.56599917409799,0,Inle,96.9174981838288,2020-12-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1216_0,14,0,54,126,70,59,50,60,37,44,2,open_water,IN0117_20201213,20.53342959413412,0,Inle,96.910718935218,2020-12-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_1734_0,56,47,178,192,129,166,0,9,0,0,2,open_water,IN0025_20250506,20.594665105779985,0,Inle,96.92579926174356,2025-05-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1137_0,54,75,0,72,34,107,0,0,0,0,2,open_water,HA0151_20250828,-25.761749810080595,0,Hartbeespoort,27.798450390927098,2025-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1138_0,80,90,8,52,69,113,0,0,0,0,2,open_water,HA0152_20250828,-25.76314120002276,0,Hartbeespoort,27.79463184592386,2025-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1139_0,99,90,0,31,40,123,0,0,0,0,2,open_water,HA0153_20250828,-25.76155656018782,0,Hartbeespoort,27.79227207092185,2025-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1140_0,93,89,32,143,77,85,0,0,0,0,2,open_water,HA0154_20250828,-25.766426361567216,0,Hartbeespoort,27.801239215929463,2025-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1141_0,47,52,44,82,67,67,0,0,0,0,2,open_water,HA0155_20250828,-25.76310255052234,0,Hartbeespoort,27.80334156093123,2025-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1142_0,65,73,20,88,74,69,9,0,0,0,2,open_water,HA0156_20250828,-25.756763862218943,0,Hartbeespoort,27.807975300935173,2025-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1143_0,55,54,70,104,85,57,0,0,0,3,2,open_water,HA0157_20250828,-25.754212831192792,0,Hartbeespoort,27.820331940945653,2025-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1144_0,77,80,28,88,65,17,0,0,0,0,2,open_water,HA0158_20250828,-25.752086930145435,0,Hartbeespoort,27.8294707059534,2025-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1145_0,38,45,73,107,90,67,0,0,0,0,2,open_water,HA0159_20250828,-25.75742093709272,0,Hartbeespoort,27.81299518593945,2025-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1147_0,53,56,61,132,96,75,0,0,0,0,2,open_water,HA0161_20250828,-25.761324659901277,0,Hartbeespoort,27.80853306593564,2025-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1148_0,90,80,0,19,31,115,0,0,0,0,2,open_water,HA0162_20250828,-25.760976808622154,0,Hartbeespoort,27.79021263092012,2025-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1149_0,80,67,71,101,70,95,0,0,0,0,2,open_water,HA0163_20250828,-25.764223380925895,0,Hartbeespoort,27.79969463592817,2025-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1150_0,56,56,40,85,56,68,0,0,0,0,2,open_water,HA0164_20250828,-25.7610541089945,0,Hartbeespoort,27.802655080930663,2025-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1152_0,53,57,18,111,76,68,23,0,2,0,2,open_water,HA0166_20250828,-25.76124735970508,0,Hartbeespoort,27.825737970950225,2025-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1153_0,55,52,17,44,72,23,0,0,0,0,2,open_water,HA0167_20250828,-25.756493300920052,0,Hartbeespoort,27.83672165095958,2025-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1154_0,58,57,15,45,45,0,0,0,0,0,2,open_water,HA0168_20250828,-25.75815531059019,0,Hartbeespoort,27.841441200963587,2025-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1155_0,81,72,41,63,42,11,0,0,0,0,2,open_water,HA0169_20250828,-25.762174958737468,0,Hartbeespoort,27.839381760961817,2025-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1156_0,60,49,45,91,69,30,0,0,0,0,2,open_water,HA0170_20250828,-25.75985594756799,0,Hartbeespoort,27.8298139459537,2025-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
