,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,binary,lat,lc,location,lon,obs_date
0,167,112,554,547,443,475,427,418,394,383,0,9.700592343,2,Vembanad,76.37849346,2019-01-24
1,199,136,570,593,430,475,465,453,416,425,0,9.673553053,2,Vembanad,76.39493263,2019-01-24
2,232,152,576,602,432,471,560,539,513,512,0,9.655047758,2,Vembanad,76.39538179,2019-01-24
3,187,128,627,673,464,480,447,446,402,421,0,9.627649142,2,Vembanad,76.41262945,2019-01-24
4,176,129,570,634,475,491,445,445,401,408,0,9.613096434,2,Vembanad,76.38496133,2019-01-24
5,172,124,569,562,415,458,409,399,368,357,0,9.597106422,2,Vembanad,76.38199689,2019-01-24
6,178,120,582,616,458,459,422,408,389,389,0,9.588392764,2,Vembanad,76.40418528,2019-01-24
7,176,125,658,689,509,500,444,433,379,376,0,9.572402752,2,Vembanad,76.40005303,2019-01-24
8,152,102,629,721,483,570,406,405,360,358,0,9.556592403,2,Vembanad,76.36061699,2019-01-24
9,204,129,641,772,521,753,595,625,528,529,0,9.53233789,2,Vembanad,76.35459828,2019-01-24
10,1357,631,665,908,598,1283,2689,2973,3050,3247,0,9.665827541,3,Vembanad,76.39187836,2019-01-24
11,707,347,658,688,512,853,1526,1613,1024,1612,0,9.647412078,2,Vembanad,76.38801561,2019-01-24
12,871,441,729,839,621,814,1236,1459,1136,1636,0,9.646423931,2,Vembanad,76.42062445,2019-01-24
13,1126,532,674,870,602,1158,2190,2443,2380,2599,0,9.64166286,3,Vembanad,76.38639864,2019-01-24
14,658,337,638,721,539,841,1416,1536,1240,1551,0,9.64103404,3,Vembanad,76.38756645,2019-01-24
15,901,459,674,810,585,1056,1863,2014,1678,2205,0,9.635554316,3,Vembanad,76.38972241,2019-01-24
16,1305,606,739,978,660,1286,2586,2835,2854,3117,0,9.635464485,3,Vembanad,76.39062072,2019-01-24
17,1437,633,688,976,567,1328,3184,3543,3506,3726,0,9.607796374,3,Vembanad,76.36699503,2019-01-24
18,1123,515,689,993,590,1179,2600,2565,3270,2750,0,9.603664124,3,Vembanad,76.36645604,2019-01-24
19,1057,507,485,602,401,768,1996,2571,2644,2738,1,9.522186927,1,Vembanad,76.36313227,2019-01-24
20,481,269,680,849,568,698,1164,1208,2142,1200,0,9.657113883,3,Vembanad,76.39304617,2019-01-24
21,294,181,657,764,478,534,661,771,1550,783,0,9.615072728,2,Vembanad,76.42340923,2019-01-24
22,460,250,606,748,498,666,991,1344,2434,1278,0,9.594950465,4,Vembanad,76.36465941,2019-01-24
23,719,302,572,791,478,774,1676,1946,3274,2052,1,9.586236807,1,Vembanad,76.36726452,2019-01-24
24,1006,457,623,944,521,966,2471,2736,4476,3129,0,9.58111641,4,Vembanad,76.36555772,2019-01-24
25,620,287,592,866,507,829,1691,1758,2958,1826,0,9.564138251,3,Vembanad,76.3586407,2019-01-24
26,877,394,603,874,497,965,2225,2609,4352,2788,0,9.552549984,3,Vembanad,76.35621525,2019-01-24
27,746,326,609,940,528,998,1869,2163,3356,2222,0,9.546351609,4,Vembanad,76.35504744,2019-01-24
28,669,293,647,887,529,885,1636,1901,3130,1934,0,9.54527363,4,Vembanad,76.35486777,2019-01-24
29,511,284,619,866,554,873,1515,1261,2530,1170,0,9.529283618,4,Vembanad,76.3549576,2019-01-24
30,1172,677,681,849,687,999,1772,1951,2494,2116,1,9.701131332,1,Vembanad,76.38810544,2019-01-24
31,1233,646,683,789,606,997,1823,2233,2238,2462,1,9.697717734,1,Vembanad,76.40014286,2019-01-24
32,1645,912,683,795,702,1101,2159,2532,2250,2736,1,9.679392102,1,Vembanad,76.38226639,2019-01-24
33,1223,647,619,768,567,928,1634,1815,1868,1872,1,9.664030911,1,Vembanad,76.40714972,2019-01-24
34,1776,1067,739,980,776,1189,2158,2632,2854,2909,1,9.649029046,1,Vembanad,76.37975111,2019-01-24
35,2017,1209,758,957,1026,1485,1974,2199,2322,2509,1,9.643728985,1,Vembanad,76.42421771,2019-01-24
