AWEIp95,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,class_int,class_label,label_id,latitude,lc,location,longitude,obs_date,.geo,NDVI,NDWI,MNDWI,GNDVI,NDCI,NDMI,NDBI,NDAVI,RR1,EVI,SAVI,DVI,OSAVI,AWEIsh,SABI,BSI
0.2161,0.0294,0.0174,0.0431,0.0584,0.0327,0.0444,0.0776,0.0759,0.156,0.0799,3,floating_plants,VE0001_20221224,9.68917516912372,1,Vembanad,76.39332069462445,2022-12-24,"{""type"":""MultiPoint"",""coordinates"":[]}",0.6534181240063592,-0.45522388059701485,0.33029612756264237,0.45522388059701485,-0.13618677042801555,0.6828478964401293,-0.6828478964401293,0.5670517327975891,0.15175097276264593,3.082491076188334e-05,0.2685494409757514,0.09759999999999999,0.35359908230570686,-0.09335000000000002,1.2147783251231525,-0.5245022970903522
0.2191,0.0256,0.0133,0.0406,0.0472,0.0301,0.0367,0.0564,0.0553,0.0836,0.0557,3,floating_plants,VE0002_20221224,9.68904825960449,1,Vembanad,76.39398572212505,2022-12-24,"{""type"":""MultiPoint"",""coordinates"":[]}",0.47053649956024624,-0.2782874617737003,0.29670329670329665,0.2782874617737003,-0.12514898688915368,0.5311355311355311,-0.5311355311355311,0.3462157809983897,0.09880239520958092,1.3375053901467221e-05,0.13076421704415836,0.036399999999999995,0.19546949214468393,-0.00852500000000001,0.6093394077448747,-0.38076709282934956
0.2214,0.0173,0.0112,0.043,0.0506,0.0323,0.0382,0.0479,0.0477,0.0516,0.05,3,floating_plants,VE0003_20221224,9.689936625231018,1,Vembanad,76.39733231212789,2022-12-24,"{""type"":""MultiPoint"",""coordinates"":[]}",0.23003575685339686,-0.00978473581213308,0.4904270986745213,0.00978473581213308,-0.13963963963963966,0.4978229317851959,-0.4978229317851959,0.09090909090909095,0.08368794326241127,4.82503720103682e-06,0.04958040760404178,0.0010000000000000009,0.07913079130791306,0.06334999999999999,0.20619658119658119,-0.31206657420249645
0.2239,0.0254,0.0119,0.0431,0.0478,0.0301,0.0429,0.0683,0.0684,0.0363,0.0753,3,floating_plants,VE0004_20221224,9.68942898801814,1,Vembanad,76.39945610962967,2022-12-24,"{""type"":""MultiPoint"",""coordinates"":[]}",0.09337349397590362,0.1367419738406659,0.3060109289617487,-0.1367419738406659,-0.05402425578831314,0.1766612641815235,-0.1766612641815235,-0.08564231738035265,0.17534246575342471,1.5500164844253118e-06,0.01641949152542373,-0.011500000000000003,0.02738515901060071,0.06707500000000002,0.06820682068206821,-0.17716827279466277
0.2148,0.0144,0.0093,0.0464,0.0506,0.033,0.0372,0.043,0.0415,0.049,0.0405,3,floating_plants,VE0005_20221224,9.689323230168794,1,Vembanad,76.3987696296291,2022-12-24,"{""type"":""MultiPoint"",""coordinates"":[]}",0.1951219512195122,0.016064257028112424,0.5569230769230769,-0.016064257028112424,-0.152619589977221,0.5457413249211358,-0.5457413249211358,0.02725366876310278,0.05982905982905976,4.0000404004080436e-06,0.04123711340206186,-0.0015999999999999973,0.06611570247933884,0.07547500000000001,0.16494845360824742,-0.33613445378151263
0.2213,0.0275,0.0135,0.0431,0.059,0.0331,0.0394,0.0654,0.0868,0.1582,0.0845,3,floating_plants,VE0006_20221224,9.686658121363172,1,Vembanad,76.39087510962239,2022-12-24,"{""type"":""MultiPoint"",""coordinates"":[]}",0.6539466806063775,-0.45672191528545125,0.3641618497109827,0.45672191528545125,-0.19918699186991873,0.7038233710285406,-0.7038233710285406,0.5717834078489816,0.08689655172413793,3.1274895072727036e-05,0.2714451034283235,0.09920000000000001,0.35610589239965845,-0.09132500000000003,1.2252693437806075,-0.5372279495990836
0.2218,0.0166,0.0087,0.0397,0.0472,0.0282,0.0353,0.0495,0.0546,0.0408,0.0504,3,floating_plants,VE0007_20221224,9.687504189943462,1,Vembanad,76.39117544462265,2022-12-24,"{""type"":""MultiPoint"",""coordinates"":[]}",0.18260869565217394,0.07272727272727268,0.47962382445141066,-0.07272727272727268,-0.14424242424242428,0.42160278745644597,-0.42160278745644597,0.013664596273291972,0.11181102362204721,3.150027641492555e-06,0.03321616871704747,-0.006399999999999996,0.05502183406113539,0.069425,0.14499424626006907,-0.28491620111731847
0.2241,0.0282,0.0169,0.0447,0.059,0.0351,0.0473,0.0984,0.0773,0.2114,0.0861,3,floating_plants,VE0008_20221224,9.688879046837576,1,Vembanad,76.38780740211979,2022-12-24,"{""type"":""MultiPoint"",""coordinates"":[]}",0.7152129817444219,-0.5636094674556213,0.3532110091743119,0.5636094674556213,-0.11006585136406392,0.7646076794657762,-0.7646076794657762,0.6509176103084733,0.14805825242718448,4.407461765269186e-05,0.3542531815137308,0.1524,0.4337023370233703,-0.17142500000000002,1.7000964320154295,-0.6036318096430807
0.2115,0.0336,0.0161,0.044,0.0594,0.0382,0.0472,0.0814,0.1027,0.2102,0.1043,3,floating_plants,VE0009_20221224,9.68490252225563,1,Vembanad,76.38424628711675,2022-12-24,"{""type"":""MultiPoint"",""coordinates"":[]}",0.6924315619967794,-0.559347181008902,0.2774193548387097,0.559347181008902,-0.11444652908067544,0.7243642329778508,-0.7243642329778508,0.6538158929976398,0.1053864168618267,4.299952958514634e-05,0.344735435595938,0.1508,0.42115572967678744,-0.17722499999999997,1.6634429400386848,-0.5595092024539877
0.1896,0.0274,0.0145,0.0445,0.0566,0.0338,0.0436,0.0704,0.0764,0.113,0.0712,3,floating_plants,VE0010_20221224,9.683548801012371,1,Vembanad,76.3815432721145,2022-12-24,"{""type"":""MultiPoint"",""coordinates"":[]}",0.5395095367847412,-0.33254716981132076,0.3476190476190476,0.33254716981132076,-0.12974051896207583,0.6096866096866098,-0.6096866096866098,0.43492063492063493,0.1266149870801034,1.9800035541063802e-05,0.18367346938775508,0.056400000000000006,0.25814863102998703,-0.02822500000000001,0.7833827893175075,-0.4403292181069959
