system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,class_int,class_label,label_id,latitude,lc,location,longitude,obs_date,.geo
0_0_0,706,303,267,436,209,629,1857,2287,2536,2440,3,floating_plants,IN0001_20191020,20.578856319282995,1,Inle,96.89698499581367,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,466,213,236,402,244,604,1466,1606,1776,1733,3,floating_plants,IN0002_20191020,20.58054373903019,1,Inle,96.89668466081339,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,414,179,261,421,227,574,1213,1324,2162,1515,3,floating_plants,IN0003_20191020,20.578514815397245,1,Inle,96.896212705813,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,597,246,279,513,254,599,1686,2050,2810,2264,3,floating_plants,IN0004_20191020,20.578092956600933,1,Inle,96.8986582908151,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,736,304,251,418,223,701,2021,2397,2412,2521,3,floating_plants,IN0005_20191020,20.577711273827973,1,Inle,96.89728533081393,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,808,328,266,431,230,734,2105,2572,2434,2703,3,floating_plants,IN0006_20191020,20.57730950145676,1,Inle,96.89861538581503,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,709,296,265,482,251,635,1718,2212,2742,2301,3,floating_plants,IN0007_20191020,20.576626485998307,1,Inle,96.89769292831424,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,1113,533,261,419,279,802,2279,2858,2624,3164,3,floating_plants,IN0008_20191020,20.5759836451275,1,Inle,96.89913024581548,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,680,275,247,469,250,684,1916,2251,2610,2500,3,floating_plants,IN0009_20191020,20.576244799557823,1,Inle,96.89994544081617,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0,469,181,251,401,216,487,1443,1617,1946,1749,3,floating_plants,IN0010_20191020,20.57716888087696,1,Inle,96.90005270331625,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_0,581,253,249,425,216,652,1627,1947,2094,1978,3,floating_plants,IN0011_20191020,20.575200179155487,1,Inle,96.90106097081714,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_0,788,341,249,460,243,798,2136,2512,2486,2671,3,floating_plants,IN0012_20191020,20.57487875605489,1,Inle,96.89930186581563,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_0,705,319,280,488,236,677,1852,2074,2388,2262,3,floating_plants,IN0013_20191020,20.57407519534212,1,Inle,96.89850812331495,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_0,634,277,251,402,224,621,1871,2288,1874,2336,3,floating_plants,IN0014_20191020,20.57349261118013,1,Inle,96.8993876758157,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_0,594,253,241,432,226,683,1839,2179,2198,2274,3,floating_plants,IN0015_20191020,20.57359305688393,1,Inle,96.90011706081633,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_0,721,307,259,451,231,777,2125,2344,2304,2532,3,floating_plants,IN0016_20191020,20.572608686136686,1,Inle,96.90050320581662,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_0,739,316,251,410,219,714,1896,2216,2222,2335,3,floating_plants,IN0017_20191020,20.571564040850213,1,Inle,96.89981672581607,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_0,926,376,237,457,214,773,2533,2921,2812,3115,3,floating_plants,IN0018_20191020,20.57226716827184,1,Inle,96.89730678331394,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_0,854,352,246,457,223,740,2159,2453,2576,2645,3,floating_plants,IN0019_20191020,20.570278313761424,1,Inle,96.90121113831724,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_0,993,389,223,462,229,768,2512,2984,2796,3171,3,floating_plants,IN0020_20191020,20.572668953915873,1,Inle,96.89518298581213,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20_0,969,397,221,438,226,748,2492,3075,2830,3276,3,floating_plants,IN0021_20191020,20.573070738502427,1,Inle,96.89228689830966,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_0,1135,433,214,497,225,807,2957,3644,3596,3923,3,floating_plants,IN0022_20191020,20.575059556632254,1,Inle,96.88771751580578,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_0,1129,475,258,493,300,787,2455,2871,2834,3177,3,floating_plants,IN0023_20191020,20.574858667088602,1,Inle,96.89035617330802,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23_0,1162,445,204,434,206,775,3024,3771,3736,4180,3,floating_plants,IN0024_20191020,20.572226989649263,1,Inle,96.88771751580578,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_0,1113,432,237,461,219,786,2839,3523,3486,3891,3,floating_plants,IN0025_20191020,20.571825202842007,1,Inle,96.89035617330802,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_25_0,799,343,217,448,231,708,2154,2457,2540,2652,3,floating_plants,IN0026_20191020,20.576284977122814,1,Inle,96.88919773830708,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26_0,695,289,232,437,216,643,1903,2211,2712,2311,3,floating_plants,IN0027_20191020,20.578012602412254,1,Inle,96.89112846330869,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_27_0,694,302,195,365,207,624,1860,2045,1862,2219,3,floating_plants,IN0028_20191020,20.577389856015603,1,Inle,96.88999148080772,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_28_0,591,268,207,372,198,572,1578,1885,1698,1817,3,floating_plants,IN0029_20191020,20.575863112162804,1,Inle,96.89381002581095,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_29_0,679,278,267,434,226,663,1931,2078,2170,2300,3,floating_plants,IN0030_20191020,20.57513991237568,1,Inle,96.89520443831215,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_30_0,615,257,213,318,181,568,1604,1870,1690,2077,3,floating_plants,IN0031_20191020,20.575581868208324,1,Inle,96.89717806831379,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_31_0,341,174,202,259,145,431,959,1017,896,1126,3,floating_plants,IN0032_20191020,20.574476976227285,1,Inle,96.89353114331072,2019-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
