system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,class_int,class_label,label_id,latitude,lc,location,longitude,obs_date,.geo
0_0_0,211,149,290,415,249,346,213,247,203,118,2,open_water,MU0001_20211026,18.567615713461986,0,Mula,73.78862078946027,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,262,200,321,443,286,415,230,260,269,174,2,open_water,MU0002_20211026,18.569019220611395,0,Mula,73.78987576071131,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,415,248,280,416,250,411,311,471,226,453,2,open_water,MU0030_20211026,18.56952773488337,0,Mula,73.82214737289834,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,353,219,289,390,262,379,291,402,292,297,2,open_water,MU0031_20211026,18.569273477956482,0,Mula,73.82272659039883,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,671,407,300,384,257,567,716,722,227,878,2,open_water,MU0032_20211026,18.56917177501227,0,Mula,73.8240202956942,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,266,143,258,394,250,377,198,303,283,239,2,open_water,MU0033_20211026,18.56881072930954,0,Mula,73.82457806069466,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,243,163,275,352,215,339,259,259,255,115,2,open_water,MU0034_20211026,18.568561556477405,0,Mula,73.82572576944563,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,307,188,272,355,225,337,307,308,277,235,2,open_water,MU0035_20211026,18.568129317027612,0,Mula,73.82674476319649,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,237,151,195,344,175,351,187,274,262,194,2,open_water,MU0036_20211026,18.56818525395929,0,Mula,73.82772621507233,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0,576,331,290,438,274,493,896,919,283,862,2,open_water,MU0037_20211026,18.56804795418517,0,Mula,73.82820889632275,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_0,273,175,223,343,214,375,267,327,211,237,2,open_water,MU0038_20211026,18.568775133212945,0,Mula,73.82952822507387,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_0,466,238,226,330,186,427,624,588,275,766,2,open_water,MU0039_20211026,18.56844459767557,0,Mula,73.82885783444829,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_0,423,263,255,352,246,402,371,358,261,414,2,open_water,MU0040_20211026,18.57039729076853,0,Mula,73.83054300778521,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_0,307,238,242,394,221,430,360,254,180,292,2,open_water,MU0041_20211026,18.57076341821058,0,Mula,73.83093451591053,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_0,444,248,272,375,240,387,457,596,294,400,2,open_water,MU0042_20211026,18.569415861942396,0,Mula,73.83025339903494,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_0,271,165,244,348,227,380,322,34,233,277,2,open_water,MU0043_20211026,18.572029603046346,0,Mula,73.83107409939342,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_0,205,147,284,372,269,332,197,209,195,151,2,open_water,MU0044_20211026,18.572288940916636,0,Mula,73.83177130564404,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_0,238,186,304,366,265,392,170,272,229,98,2,open_water,MU0045_20211026,18.571495670895033,0,Mula,73.83127253501858,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_0,496,302,241,357,242,410,537,522,172,644,2,open_water,MU0046_20211026,18.57129735281306,0,Mula,73.83073622251814,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_0,196,161,316,324,247,321,268,281,212,199,2,open_water,MU0047_20211026,18.57311780255444,0,Mula,73.83218980395276,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20_0,232,191,294,279,256,254,159,313,215,159,2,open_water,MU0048_20211026,18.573402563867646,0,Mula,73.83147114520217,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_0,201,144,330,352,262,277,219,174,180,188,2,open_water,MU0049_20211026,18.57425176007942,0,Mula,73.83345055080387,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_0,215,146,325,378,291,359,250,249,199,190,2,open_water,MU0050_20211026,18.574389054858884,0,Mula,73.8345017233048,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23_0,188,157,293,297,265,330,222,221,190,187,2,open_water,MU0051_20211026,18.574536519498864,0,Mula,73.83400295267936,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_0,241,181,294,339,256,317,205,205,156,196,2,open_water,MU0052_20211026,18.57519248149556,0,Mula,73.83554813523043,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_25_0,194,151,313,352,266,338,212,251,182,180,2,open_water,MU0053_20211026,18.57493823301484,0,Mula,73.83474366647972,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26_0,248,133,312,333,260,296,262,268,309,293,2,open_water,MU0054_20211026,18.57558402341431,0,Mula,73.83679774335648,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_27_0,220,154,342,383,262,347,311,251,267,255,2,open_water,MU0055_20211026,18.575085697179833,0,Mula,73.83741450273202,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_28_0,196,148,282,271,234,243,242,289,253,203,2,open_water,MU0056_20211026,18.57541113488571,0,Mula,73.83804735148254,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_29_0,198,139,262,315,232,300,261,253,224,271,2,open_water,MU0057_20211026,18.574851788445038,0,Mula,73.83863729523307,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_30_0,183,119,284,349,242,306,289,281,260,251,2,open_water,MU0058_20211026,18.57458228434448,0,Mula,73.83985096871446,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_31_0,196,133,260,337,232,295,260,237,244,209,2,open_water,MU0059_20211026,18.57493823285441,0,Mula,73.83936292433904,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_32_0,242,164,297,369,248,353,310,272,249,212,2,open_water,MU0060_20211026,18.574028020185253,0,Mula,73.84070370559017,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33_0,409,221,249,330,235,387,348,523,274,578,2,open_water,MU0061_20211026,18.57394666015702,0,Mula,73.84155644246589,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_34_0,279,145,308,360,264,306,281,286,206,335,2,open_water,MU0062_20211026,18.57321441815595,0,Mula,73.84255398371673,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
