system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,class_int,class_label,label_id,latitude,lc,location,longitude,obs_date,.geo
0_0_0,1033,473,398,640,374,1008,2317,2573,2600,2806,3,floating_plants,RA0001_20240810,-7.3006632412002315,1,RawaPening,110.42962963789502,2024-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,798,345,414,531,348,800,1847,1912,1682,2149,3,floating_plants,RA0002_20240810,-7.302749040127871,1,RawaPening,110.42954382789495,2024-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,218,120,410,479,306,463,473,539,373,501,3,floating_plants,RA0003_20240810,-7.300620673773831,1,RawaPening,110.42735567289309,2024-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,1373,539,394,592,331,1004,3383,4006,4052,4390,3,floating_plants,RA0004_20240810,-7.2996416218494655,1,RawaPening,110.4426727579061,2024-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,767,327,396,520,350,776,1689,1735,1245,1820,3,floating_plants,RA0005_20240810,-7.297257834290622,1,RawaPening,110.44365957290694,2024-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,737,360,420,642,391,924,2029,2041,2905,2292,3,floating_plants,RA0006_20240810,-7.293001039206826,1,RawaPening,110.44048460290423,2024-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,1300,512,422,631,365,987,3014,3422,3511,3775,3,floating_plants,RA0007_20240810,-7.2961510714637825,1,RawaPening,110.4471777829099,2024-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,1418,525,425,634,331,979,3699,4447,4509,4778,3,floating_plants,RA0008_20240810,-7.299854459406645,1,RawaPening,110.44734940291008,2024-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,1344,566,398,651,371,1089,2991,3426,3490,3749,3,floating_plants,RA0009_20240810,-7.305686169057162,1,RawaPening,110.4393690729033,2024-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0,1383,548,394,639,326,1047,3437,4002,4042,4336,3,floating_plants,RA0010_20240810,-7.306494940300759,1,RawaPening,110.43778158790192,2024-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_0,1362,511,373,637,298,1016,3764,4496,4528,4842,3,floating_plants,RA0011_20240810,-7.308495578666563,1,RawaPening,110.43649443790085,2024-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_0,1233,529,443,674,378,1098,2837,3206,3287,3539,3,floating_plants,RA0012_20240810,-7.306324672792169,1,RawaPening,110.4320752228971,2024-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
