system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,class_int,class_label,label_id,latitude,lc,location,longitude,obs_date,.geo
0_0_0,279,159,258,386,242,417,1027,1040,1344,922,3,floating_plants,RO0001_20241024,29.51178753267463,1,Rodman,-81.87840070750676,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,179,99,223,339,226,275,614,551,1282,696,3,floating_plants,RO0002_20241024,29.51151676466019,1,Rodman,-81.8799774662581,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,214,79,249,445,245,261,563,739,1622,661,3,floating_plants,RO0003_20241024,29.51327207546765,1,Rodman,-81.87443199500339,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,423,212,359,704,403,591,1292,1548,2398,1353,3,floating_plants,RO0004_20241024,29.513393452217425,1,Rodman,-81.8737455150028,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,461,185,381,678,404,570,1179,1497,2602,1335,3,floating_plants,RO0005_20241024,29.513533502132407,1,Rodman,-81.87284451000205,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,609,313,470,913,533,1060,2054,2334,3040,2222,3,floating_plants,RO0006_20241024,29.513692225135145,1,Rodman,-81.87213657750145,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,395,185,300,623,348,495,1103,1014,2334,1089,3,floating_plants,RO0007_20241024,29.51426175856654,1,Rodman,-81.87201858875133,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,738,338,425,782,474,1146,1984,2226,2834,2592,3,floating_plants,RO0008_20241024,29.51403768022185,1,Rodman,-81.87136428750078,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,471,229,368,665,375,695,1437,1984,2622,1756,3,floating_plants,RO0009_20241024,29.513748244959025,1,Rodman,-81.87086015375034,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0,1173,556,453,957,545,1710,3356,3775,3892,4045,3,floating_plants,RO0010_20241024,29.513430798880346,1,Rodman,-81.86996987499958,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_0,1398,632,526,1122,650,1877,3960,4568,4596,4717,3,floating_plants,RO0011_20241024,29.512786567013126,1,Rodman,-81.86859691499845,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_0,1134,568,492,1011,616,1674,3204,3541,3824,3818,3,floating_plants,RO0012_20241024,29.51421507561898,1,Rodman,-81.86949791999922,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_0,1201,597,504,984,600,1652,3607,3889,3980,3890,3,floating_plants,RO0013_20241024,29.514756596486947,1,Rodman,-81.86857546249843,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_0,742,343,371,790,458,844,1899,2364,3328,2196,3,floating_plants,RO0014_20241024,29.51471925031322,1,Rodman,-81.86932629999906,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_0,1346,653,452,976,569,1819,3788,4268,4340,4604,3,floating_plants,RO0015_20241024,29.51481261572174,1,Rodman,-81.86748138499749,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_0,1300,609,476,986,598,1701,3685,4231,4236,4524,3,floating_plants,RO0016_20241024,29.51385094788896,1,Rodman,-81.86874708249856,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_0,1393,663,491,1002,588,1723,3845,4466,4436,4722,3,floating_plants,RO0017_20241024,29.514047016829455,1,Rodman,-81.86769590999768,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_0,1220,590,474,978,561,1674,3572,3989,3952,4130,3,floating_plants,RO0018_20241024,29.514747259944812,1,Rodman,-81.86596898374621,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
