system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,class_int,class_label,label_id,latitude,lc,location,longitude,obs_date,.geo
0_0_0,1384,557,261,563,292,911,3525,4379,4461,4765,3,floating_plants,VA0001_20210725,18.912924473322963,1,Valsequillo,-98.19743211280908,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,1330,506,264,534,267,849,3506,4430,4272,4728,3,floating_plants,VA0002_20210725,18.912934622932212,1,Valsequillo,-98.1951258810038,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,1180,470,275,514,271,839,3135,3846,4016,4213,3,floating_plants,VA0003_20210725,18.915776489290664,1,Valsequillo,-98.1935919686868,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,1055,417,287,541,285,834,2821,3509,3560,3645,3,floating_plants,VA0004_20210725,18.913939431199996,1,Valsequillo,-98.19140373013668,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,1126,453,298,550,319,871,2860,3520,3504,3831,3,floating_plants,VA0005_20210725,18.91767442341962,1,Valsequillo,-98.19568398506993,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,626,293,339,566,294,825,2021,2620,3467,3058,3,floating_plants,VA0006_20210725,18.918638606157046,1,Valsequillo,-98.1937317330301,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,837,350,380,596,367,860,2453,2957,2654,2982,3,floating_plants,VA0007_20210725,18.919521589680368,1,Valsequillo,-98.19480439898604,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,821,376,356,554,325,851,2307,2774,3196,3168,3,floating_plants,VA0008_20210725,18.917197404640756,1,Valsequillo,-98.19371027971098,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,1282,522,269,518,267,837,3255,4057,3936,4373,3,floating_plants,VA0009_20210725,18.915786638689625,1,Valsequillo,-98.1959197582832,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0,1275,484,272,535,283,866,3360,4209,4232,4429,3,floating_plants,VA0010_20210725,18.91368569227111,1,Valsequillo,-98.19329172669113,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_0,1150,452,284,549,279,856,3144,3799,3847,4077,3,floating_plants,VA0011_20210725,18.91111783264472,1,Valsequillo,-98.18911830087697,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_0,1162,466,266,542,276,850,3117,3835,3498,4053,3,floating_plants,VA0012_20210725,18.910661094656145,1,Valsequillo,-98.1908345664065,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_0,695,303,368,566,346,729,1504,1902,2049,1894,3,floating_plants,VA0013_20210725,18.911077233762924,1,Valsequillo,-98.19374149114708,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_0,1268,509,271,543,259,872,3353,4177,4132,4434,3,floating_plants,VA0014_20210725,18.910001359803886,1,Valsequillo,-98.19308716491398,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_0,1370,544,254,560,267,883,3577,4548,4677,4873,3,floating_plants,VA0015_20210725,18.90823528754606,1,Valsequillo,-98.19279754510588,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_0,1295,491,244,527,254,842,3397,4286,4476,4575,3,floating_plants,VA0016_20210725,18.908722481755582,1,Valsequillo,-98.19107055291678,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_0,1125,445,254,515,266,839,3003,3765,3738,4034,3,floating_plants,VA0017_20210725,18.909372071827516,1,Valsequillo,-98.18797054830408,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_0,1066,431,294,555,281,841,2905,3531,3438,3648,3,floating_plants,VA0018_20210725,18.910488548869175,1,Valsequillo,-98.18789546168719,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_0,1446,570,255,579,271,934,3790,4665,4688,4962,3,floating_plants,VA0019_20210725,18.906915796102783,1,Valsequillo,-98.18822798813353,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_0,1123,460,294,574,291,906,3151,3655,3641,3804,3,floating_plants,VA0020_20210725,18.90999121001659,1,Valsequillo,-98.18639372934884,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20_0,1200,460,258,548,261,842,3261,3919,4132,4272,3,floating_plants,VA0021_20210725,18.908823980370624,1,Valsequillo,-98.18671552913565,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_0,1187,456,256,525,254,832,3212,4068,4091,4294,3,floating_plants,VA0022_20210725,18.90631694605778,1,Valsequillo,-98.18494461388278,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_0,1187,465,256,502,252,851,3241,3986,4040,4329,3,floating_plants,VA0023_20210725,18.905048189928344,1,Valsequillo,-98.18355014814006,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23_0,1138,445,266,514,262,839,3074,3782,3642,3958,3,floating_plants,VA0024_20210725,18.90321101399946,1,Valsequillo,-98.18134045627082,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_0,1096,429,266,536,272,815,3003,3675,3680,3837,3,floating_plants,VA0025_20210725,18.904540684782376,1,Valsequillo,-98.18647852619978,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_25_0,1244,483,244,503,241,839,3310,4168,4073,4373,3,floating_plants,VA0026_20210725,18.903403867668946,1,Valsequillo,-98.18843077823962,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26_0,1210,450,240,514,250,825,3282,4110,4035,4331,3,floating_plants,VA0027_20210725,18.90326176498667,1,Valsequillo,-98.1845155475004,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_27_0,1083,458,361,584,354,870,2720,3367,3226,3399,3,floating_plants,VA0028_20210725,18.923723310029256,1,Valsequillo,-98.1980442920025,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_28_0,1211,474,284,540,288,847,3119,3872,3806,4105,3,floating_plants,VA0029_20210725,18.922200960001682,1,Valsequillo,-98.19852699168268,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_29_0,1263,487,324,583,304,922,3427,4413,4384,4562,3,floating_plants,VA0030_20210725,18.92328690443918,1,Valsequillo,-98.1969072660892,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_30_0,842,339,382,612,366,842,2222,2738,2934,2654,3,floating_plants,VA0031_20210725,18.92551966522559,1,Valsequillo,-98.19662837294068,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_31_0,1161,450,306,568,317,845,3077,3829,3774,4087,3,floating_plants,VA0032_20210725,18.92632142204663,1,Valsequillo,-98.19762595227968,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_32_0,1002,398,352,586,328,820,2611,3173,3316,3403,3,floating_plants,VA0033_20210725,18.926006809069108,1,Valsequillo,-98.19935294446879,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33_0,520,252,412,606,374,798,1599,1953,2229,2016,3,floating_plants,VA0034_20210725,18.921470227063047,1,Valsequillo,-98.1953733537722,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_34_0,1280,543,302,534,294,881,2962,3653,3782,3923,3,floating_plants,VA0035_20210725,18.92089172788758,1,Valsequillo,-98.19721833921642,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_35_0,1310,496,267,545,274,840,3383,4274,4296,4627,3,floating_plants,VA0036_20210725,18.928777413511668,1,Valsequillo,-98.19713367730851,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_36_0,602,280,401,588,378,802,1678,2027,2184,2042,3,floating_plants,VA0037_20210725,18.92987346377281,1,Valsequillo,-98.17563400832817,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_37_0,892,383,349,557,327,831,2562,2968,2791,3130,3,floating_plants,VA0038_20210725,18.929102169880835,1,Valsequillo,-98.17640632781645,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_38_0,225,122,428,615,405,705,986,1067,1782,875,3,floating_plants,VA0039_20210725,18.928310574758395,1,Valsequillo,-98.17850742760155,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_39_0,189,101,420,578,379,700,718,778,1125,708,3,floating_plants,VA0040_20210725,18.925824130796425,1,Valsequillo,-98.18260501155328,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_40_0,244,127,418,598,400,741,890,1072,1271,1052,3,floating_plants,VA0041_20210725,18.912934622757803,1,Valsequillo,-98.17990185199079,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_41_0,422,210,357,552,326,753,1799,2039,2434,1615,3,floating_plants,VA0042_20210725,18.913929281477305,1,Valsequillo,-98.18036309835183,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_42_0,378,182,279,534,318,743,1302,1741,2959,1504,3,floating_plants,VA0043_20210725,18.912853425866455,1,Valsequillo,-98.1778637866745,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_43_0,227,116,388,580,386,734,990,1170,1404,887,3,floating_plants,VA0044_20210725,18.91224444792455,1,Valsequillo,-98.18023437843712,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_44_0,192,124,369,583,383,745,922,959,1572,718,3,floating_plants,VA0045_20210725,18.910295703608316,1,Valsequillo,-98.17899008592823,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_45_0,296,134,298,554,316,705,1347,1436,2723,1193,3,floating_plants,VA0046_20210725,18.91331015786752,1,Valsequillo,-98.18166102415854,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_46_0,111,81,392,574,404,695,615,755,1324,647,3,floating_plants,VA0047_20210725,18.912680882341395,1,Valsequillo,-98.18218663047696,2021-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
