system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,class_int,class_label,label_id,latitude,lc,location,longitude,obs_date,.geo
0_0_0,838,417,295,518,310,814,2069,2460,2362,2648,3,floating_plants,WI0001_20241126,-0.3252536465441358,1,Winam,34.716492226467565,2024-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,1342,579,236,441,181,604,2885,4126,4164,4475,3,floating_plants,WI0002_20241126,-0.32585445157619475,1,Winam,34.70932709146149,2024-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,776,356,258,476,290,755,1873,2228,2324,2425,3,floating_plants,WI0003_20241126,-0.3237945483498858,1,Winam,34.71940976647003,2024-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,825,391,266,470,292,816,2025,2400,2392,2635,3,floating_plants,WI0004_20241126,-0.32469575606307044,1,Winam,34.7212546814716,2024-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,967,435,240,469,310,820,2246,2743,2778,3033,3,floating_plants,WI0005_20241126,-0.3267985737476534,1,Winam,34.719753006470334,2024-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,657,321,286,494,302,804,1750,2063,2092,2135,3,floating_plants,WI0006_20241126,-0.32688440303160643,1,Winam,34.72134049147167,2024-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,375,184,351,563,398,787,1181,1361,1548,1273,3,floating_plants,WI0007_20241126,-0.3286009889082683,1,Winam,34.72312374880987,2024-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,756,386,289,491,316,829,1860,2162,2384,2372,3,floating_plants,WI0008_20241126,-0.3285795315910108,1,Winam,34.72112866630818,2024-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,497,238,290,472,313,701,1374,1552,1720,1565,3,floating_plants,WI0009_20241126,-0.32727063515272314,1,Winam,34.717052691304744,2024-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0,249,129,363,536,354,623,753,858,1005,723,3,floating_plants,WI0010_20241126,-0.32583299460569404,1,Winam,34.714800178802825,2024-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_0,821,382,276,486,317,791,1898,2243,2260,2439,3,floating_plants,WI0011_20241126,-0.3282576718269709,1,Winam,34.71962699130691,2024-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_0,802,355,267,486,289,786,1964,2379,2380,2584,3,floating_plants,WI0012_20241126,-0.3296094827661902,1,Winam,34.71879034380619,2024-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_0,969,438,264,462,280,802,2309,2812,2832,3011,3,floating_plants,WI0013_20241126,-0.33076817771093664,1,Winam,34.720013136307244,2024-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_0,802,370,293,513,344,840,1995,2391,2332,2544,3,floating_plants,WI0014_20241126,-0.33057506189620334,1,Winam,34.72160062130858,2024-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_0,473,226,345,528,367,840,1432,1651,1682,1500,3,floating_plants,WI0015_20241126,-0.3308325496483584,1,Winam,34.723724418810406,2024-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_0,370,185,383,556,396,841,1176,1302,1462,1186,3,floating_plants,WI0016_20241126,-0.3313260678212893,1,Winam,34.72438944631095,2024-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_0,550,281,351,575,417,887,1657,1847,1842,1798,3,floating_plants,WI0017_20241126,-0.3323131040934004,1,Winam,34.72625581381254,2024-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_0,623,303,353,564,394,895,1692,2007,1832,2106,3,floating_plants,WI0018_20241126,-0.33214144561840475,1,Winam,34.727521511313626,2024-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_0,522,256,384,576,410,847,1426,1679,1560,1661,3,floating_plants,WI0019_20241126,-0.32997425711519196,1,Winam,34.729108996314956,2024-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_0,611,307,323,526,350,890,1711,1985,2132,2055,3,floating_plants,WI0020_20241126,-0.3317766713490568,1,Winam,34.729409331315225,2024-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20_0,289,158,353,558,395,912,1057,1227,1746,1191,3,floating_plants,WI0021_20241126,-0.32727063515272314,1,Winam,34.73157603381704,2024-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_0,524,273,302,522,346,843,1651,1852,2034,1667,3,floating_plants,WI0022_20241126,-0.32347268878548296,1,Winam,34.72936642631519,2024-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_0,557,257,346,539,367,857,1599,1875,1930,1977,3,floating_plants,WI0023_20241126,-0.32538239080989484,1,Winam,34.72992419131566,2024-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23_0,623,305,351,530,358,874,1759,2029,1952,2135,3,floating_plants,WI0024_20241126,-0.32654108624409056,1,Winam,34.72919480631502,2024-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_0,470,223,342,602,406,870,1520,1764,1588,1660,3,floating_plants,WI0025_20241126,-0.32815038523665063,1,Winam,34.72917335381501,2024-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_25_0,804,377,315,511,344,821,1926,2251,2184,2418,3,floating_plants,WI0026_20241126,-0.3323131040934004,1,Winam,34.72194386130888,2024-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26_0,539,259,396,614,440,832,1437,1702,1606,1689,3,floating_plants,WI0027_20241126,-0.3333859694947369,1,Winam,34.72063525880777,2024-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
