,location,year,Winter,Spring,Summer,Autumn,total
0,Hartbeespoort,2021,100,107,190,200,597
1,Hartbeespoort,2022,0,190,200,0,390
2,Hartbeespoort,2023,300,0,0,0,300
3,Hartbeespoort,2024,200,0,225,120,545
4,Hartbeespoort,2025,0,0,197,0,197
5,Inle,2019,70,0,0,500,570
6,Inle,2020,240,0,0,470,710
7,Inle,2021,80,0,0,260,340
8,Inle,2023,100,0,0,0,100
9,Inle,2024,140,0,0,0,140
10,Inle,2025,100,40,0,0,140
11,Mula,2021,240,240,0,220,700
12,Mula,2022,250,0,0,0,250
13,Mula,2023,200,240,0,0,440
14,Mula,2024,0,285,0,0,285
15,Mula,2025,204,193,0,0,397
16,RawaPening,2019,0,0,240,80,320
17,RawaPening,2020,0,0,200,0,200
18,RawaPening,2021,0,299,200,0,499
19,RawaPening,2023,0,200,0,2,202
20,RawaPening,2024,0,0,201,80,281
21,RawaPening,2025,0,300,200,0,500
22,Rodman,2019,0,0,0,80,80
23,Rodman,2020,0,0,160,378,538
24,Rodman,2021,0,0,0,440,440
25,Rodman,2022,0,0,0,301,301
26,Rodman,2023,0,0,0,460,460
27,Rodman,2024,0,0,0,200,200
28,Valsequillo,2021,0,257,120,200,577
29,Valsequillo,2022,200,0,0,0,200
30,Valsequillo,2023,0,160,0,160,320
31,Valsequillo,2025,200,240,200,260,900
32,Vembanad,2022,502,0,200,0,702
33,Vembanad,2023,300,300,0,0,600
34,Vembanad,2024,400,300,0,0,700
35,Winam,2020,0,0,200,300,500
36,Winam,2021,120,160,0,0,280
37,Winam,2023,160,0,0,0,160
38,Winam,2024,0,0,160,299,459
39,Winam,2025,0,0,300,300,600
