,model,test_region,best_n_estimators,best_max_depth,best_min_samples_leaf,lr,weight_decay,dropout,test_f1,train_f1,test_accuracy,test_recall,test_precision
0,15_DENSE_AWEI_False,Hartbeespoort,,,,0.0004692859018016,7.777786661662819e-05,0.3951227312672488,90.8995807170868,96.44040465354921,91.4370059967041,86.72654628753662,95.49450278282166
1,15_DENSE_AWEI_False,Inle,,,,0.0005366162811823,0.0001458060795302,0.3202661073483866,96.70437574386595,97.06069231033324,96.64999842643738,98.29999804496764,95.1597273349762
2,15_DENSE_AWEI_False,Mula,,,,0.0006200015626549,2.827218344863357e-05,0.2708449222533328,65.11327028274536,98.3034074306488,73.98648858070374,50.14955401420593,92.80442595481871
3,15_DENSE_AWEI_False,RawaPening,,,,0.0019269154472915,1.5280754325854413e-06,0.4124897805145395,94.96982097625732,96.22070789337158,95.00499367713928,94.21157836914062,95.74036598205566
4,15_DENSE_AWEI_False,Rodman,,,,0.0098998953482934,0.0024196633201237,0.2410036463940333,89.05898332595825,95.75508236885072,88.09990286827087,96.77103757858276,82.48540163040161
5,15_DENSE_AWEI_False,Valsequillo,,,,0.0003729998154142,0.0010226844098249,0.4953416907836971,96.0545539855957,97.17602133750916,96.02941274642944,96.66666388511658,95.4501450061798
6,15_DENSE_AWEI_False,Vembanad,,,,0.008308860966122,0.0001549647658123,0.3072514269770183,96.36730551719666,96.00281715393066,96.4035987854004,95.30938267707823,97.44898080825806
7,15_DENSE_AWEI_False,Winam,,,,0.0005743921379695,2.656836893415816e-05,0.3358494169822242,85.44755578041077,97.30530381202698,86.74337267875671,77.7999997138977,94.76248621940611
8,15_DENSE_AWEI_False,regions_mean,,,,,,,89.3269307911396,96.78305462002754,90.54434671998024,86.99184507131577,93.66825446486473
0,15_GAP_AWEI_False,Hartbeespoort,,,,0.0098989554408844,0.0024196633201237,0.4086656573027754,95.1257050037384,95.5469012260437,95.32480239868164,92.514967918396,97.88807034492491
1,15_GAP_AWEI_False,Inle,,,,0.0004891302964872,0.006070701514183,0.387352152856701,96.37255072593688,96.45379781723022,96.29999995231628,98.29999804496764,94.51923370361328
2,15_GAP_AWEI_False,Mula,,,,0.0034982273006754,0.0014810456320082,0.1926884895937961,71.92660570144653,97.78218865394592,77.84749269485474,58.62413048744202,93.03797483444214
3,15_GAP_AWEI_False,RawaPening,,,,0.0009920562866268,1.0153455344549434e-06,0.3604063212686379,95.22402882575987,96.2973415851593,95.15484571456908,96.50698900222778,93.97473335266112
4,15_GAP_AWEI_False,Rodman,,,,0.000892431260106,1.0719864040714892e-06,0.2893309285818674,90.079927444458,97.0971405506134,89.66699242591858,93.73776912689208,86.69683337211609
5,15_GAP_AWEI_False,Valsequillo,,,,0.0046225890010208,5.337032762603957e-06,0.1849356442713104,95.9922730922699,96.72887325286864,95.93137502670288,97.45097756385805,94.57659125328064
6,15_GAP_AWEI_False,Vembanad,,,,0.0005611516415334,0.0008471801418819,0.4802857225639665,97.53208160400392,96.5546488761902,97.50249981880188,98.60279560089113,96.484375
7,15_GAP_AWEI_False,Winam,,,,0.0026070247583707,0.007579479953348,0.1082337977183209,83.79136323928833,97.5026547908783,85.54277420043945,74.6999979019165,95.4023003578186
8,15_GAP_AWEI_False,regions_mean,,,,,,,90.75556695461273,96.74544334411621,91.65884777903557,88.8047032058239,94.0725140273571
0,15_GAP_AWEI_True,Hartbeespoort,,,,0.0083622110372145,0.0067326842501798,0.3237815556863641,88.33151459693909,96.86549305915833,89.46850299835205,80.83832263946533,97.3557710647583
1,15_GAP_AWEI_True,Inle,,,,0.0005743921379695,0.006070701514183,0.2123043816958816,98.07026386260986,98.51169586181639,98.04999828338624,99.099999666214,97.06170558929445
2,15_GAP_AWEI_True,Mula,,,,0.0003729998154142,0.0010226844098249,0.4953416907836971,89.01734352111816,98.51678609848022,89.91312980651855,84.44666266441345,94.11110877990724
3,15_GAP_AWEI_True,RawaPening,,,,0.0006683343962512,0.006732859880295,0.1062586634853216,97.3607063293457,98.69632720947266,97.30269908905028,99.40119981765748,95.4023003578186
4,15_GAP_AWEI_True,Rodman,,,,0.0009920562866268,0.0019698282169201,0.2548493122582504,95.46971917152403,98.18130135536194,95.34769654273988,97.94520735740662,93.11627745628356
5,15_GAP_AWEI_True,Valsequillo,,,,0.0046225890010208,5.337032762603957e-06,0.1849356442713104,84.82871055603027,98.4663426876068,86.32352948188782,76.47058963775635,95.23809552192688
6,15_GAP_AWEI_True,Vembanad,,,,0.0012123634441485,0.0011762617934974,0.3915741122102389,97.42318987846376,98.15195202827454,97.40259647369383,98.10379147529602,96.75197005271912
7,15_GAP_AWEI_True,Winam,,,,0.0017532175746708,1.247947501878448e-05,0.1084999219232374,92.30769276618958,98.63945841789246,92.59629845619202,88.80000114440918,96.10389471054076
8,15_GAP_AWEI_True,regions_mean,,,,,,,92.85114258527756,98.25366958975792,93.30055639147758,90.6382218003273,95.64264044165611
0,31_DENSE_AWEI_False,Hartbeespoort,,,,0.0046225890010208,5.337032762603957e-06,0.1849356442713104,81.0904860496521,97.5998878479004,83.95669460296631,69.7604775428772,96.81440591812134
1,31_DENSE_AWEI_False,Inle,,,,0.0026070247583707,0.007579479953348,0.1082337977183209,97.28395342826845,96.21843099594116,97.25000262260436,98.50000143051147,96.09755873680116
2,31_DENSE_AWEI_False,Mula,,,,0.0012123634441485,0.0008826466130239,0.3915741122102389,49.3809163570404,97.8723406791687,66.45752787590027,33.79860520362854,91.62161946296692
3,31_DENSE_AWEI_False,RawaPening,,,,0.008308860966122,3.892081004729307e-05,0.3496334108689463,95.50072550773619,95.37180662155153,95.35464644432068,98.5029935836792,92.67605543136595
4,31_DENSE_AWEI_False,Rodman,,,,0.0085908005237409,0.0075535036455831,0.323540359302987,89.9371087551117,94.68175172805786,89.03036117553711,97.94520735740662,83.13953280448914
5,31_DENSE_AWEI_False,Valsequillo,,,,0.0010152199644051,3.3596494636340555e-05,0.3393786581306214,92.3231303691864,95.96038460731506,92.5000011920929,90.1960790157318,94.5529282093048
6,31_DENSE_AWEI_False,Vembanad,,,,0.0026070247583707,0.007579479953348,0.1082337977183209,94.82421875,95.37200331687929,94.70529556274414,96.90618515014648,92.829829454422
7,31_DENSE_AWEI_False,Winam,,,,0.0009920562866268,0.0096044389305917,0.2445747960306365,86.56554818153381,97.45804667472841,87.59379982948303,79.90000247955322,94.44444179534912
8,31_DENSE_AWEI_False,regions_mean,,,,,,,85.86326092481613,96.3168315589428,88.3560411632061,83.18869397044182,92.77204647660255
0,31_GAP_AWEI_False,Hartbeespoort,,,,0.0026070247583707,0.007579479953348,0.1082337977183209,81.95990920066833,88.99738192558289,84.05511975288391,73.45309257507324,92.69521236419678
1,31_GAP_AWEI_False,Inle,,,,0.0050090941406133,1.9719732020894468e-05,0.1883228911483455,92.83208250999452,91.66901111602785,92.849999666214,92.59999990463255,93.06532740592957
2,31_GAP_AWEI_False,Mula,,,,0.0015751320499779,4.207053950287936e-06,0.1624074561769746,39.41267430782318,94.501793384552,62.162160873413086,25.423729419708252,87.6288652420044
3,31_GAP_AWEI_False,RawaPening,,,,0.0026070247583707,0.007579479953348,0.1082337977183209,87.0822012424469,91.24657511711119,85.71428656578064,96.20758295059204,79.53795194625854
4,31_GAP_AWEI_False,Rodman,,,,0.0011364695031944,2.591698953182593e-05,0.2460205822996746,85.31098365783691,93.18053722381592,83.69246125221252,94.6183979511261,77.67068147659302
5,31_GAP_AWEI_False,Valsequillo,,,,0.0028384834145349,1.1196583293712812e-05,0.1879624647879518,83.96645188331604,92.7046537399292,84.06862616539001,83.43137502670288,84.50844287872314
6,31_GAP_AWEI_False,Vembanad,,,,0.0015751320499779,4.207053950287936e-06,0.1624074561769746,84.93607640266418,92.8481101989746,86.46353483200073,76.2475073337555,95.85947394371031
7,31_GAP_AWEI_False,Winam,,,,0.0027464999065701,0.005206571645509,0.1014725810265476,72.17280864715576,90.3869092464447,78.08904647827148,56.80000185966492,98.95470142364502
8,31_GAP_AWEI_False,regions_mean,,,,,,,78.45914848148823,91.9418714940548,82.1369044482708,74.84771087765694,88.7400820851326
0,7_GAP_AWEI_False,Hartbeespoort,,,,0.0096233202334635,0.002905060001968,0.2159826491744725,91.69295430183412,94.53015327453612,92.22440719604492,87.02594637870789,96.88888788223268
1,7_GAP_AWEI_False,Inle,,,,0.0028384834145349,1.1196583293712812e-05,0.1879624647879518,94.27739977836607,95.63380479812622,94.09999847412108,97.2000002861023,91.52542352676392
2,7_GAP_AWEI_False,Mula,,,,0.0005611516415334,0.0008471801418819,0.4802857225639665,78.15699577331543,96.9735622406006,81.46718144416809,68.49451661109924,90.99337458610536
3,7_GAP_AWEI_False,RawaPening,,,,0.0015414354613079,0.0009744834685871,0.3810317466862568,94.70559358596802,95.60789465904236,94.65534687042236,95.5089807510376,93.91560554504396
4,7_GAP_AWEI_False,Rodman,,,,0.0056355059112553,0.0019501615682228,0.3889580590758275,84.66200232505798,95.37637233734132,83.88834595680237,88.8454020023346,80.85485100746155
5,7_GAP_AWEI_False,Valsequillo,,,,0.0026070247583707,0.007579479953348,0.1082337977183209,94.54545378684998,96.37701511383055,94.5588231086731,94.3137228488922,94.77832317352296
6,7_GAP_AWEI_False,Vembanad,,,,0.0018464997258016,1.0621181383479148e-05,0.1014725810265476,96.48241400718688,95.44489979743958,96.50349617004396,95.80838084220886,97.16598987579346
7,7_GAP_AWEI_False,Winam,,,,0.0028384834145349,1.1196583293712812e-05,0.1879624647879518,86.74699068069458,96.78149819374084,87.3436689376831,82.8000009059906,91.08911156654358
8,7_GAP_AWEI_False,regions_mean,,,,,,,90.15872552990913,95.8406500518322,90.59265851974487,88.74961882829666,92.15144589543343
0,RF_NO_AWEIp95,Hartbeespoort,200.0,5.0,1.0,,,,95.21384928716904,93.321261926318,95.37401574803148,93.313373253493,97.19334719334721
1,RF_NO_AWEIp95,Inle,200.0,5.0,1.0,,,,91.23486682808716,93.86311628874556,90.95,94.19999999999999,88.45070422535211
2,RF_NO_AWEIp95,Mula,100.0,10.0,1.0,,,,83.7867247007617,97.29196050775741,85.61776061776062,76.76969092721835,92.21556886227545
3,RF_NO_AWEIp95,RawaPening,500.0,10.0,5.0,,,,94.5219123505976,95.8467798512698,94.5054945054945,94.71057884231536,94.33399602385686
4,RF_NO_AWEIp95,Rodman,200.0,5.0,1.0,,,,88.23273990447242,94.11846884604638,86.7286973555338,99.412915851272,79.31303669008587
5,RF_NO_AWEIp95,Valsequillo,100.0,5.0,1.0,,,,94.5721271393643,93.4372148522496,94.55882352941177,94.80392156862743,94.34146341463415
6,RF_NO_AWEIp95,Vembanad,200.0,5.0,5.0,,,,92.71457085828344,93.5082968825939,92.70729270729272,92.71457085828344,92.71457085828344
7,RF_NO_AWEIp95,Winam,500.0,5.0,5.0,,,,86.21340887629839,94.22178852721824,85.39269634817408,91.3,81.66368515205724
8,RF_NO_AWEIp95,regions_mean,,,,,,,90.81127499312926,94.45111096027486,90.72934760146236,92.15313141265119,90.02829655248654
0,RF_WITH_AWEIp95,Hartbeespoort,200.0,10.0,10.0,,,,98.09428284854565,97.46486830026127,98.12715623459832,97.60479041916167,98.58870967741936
1,RF_WITH_AWEIp95,Inle,200.0,10.0,10.0,,,,96.09609609609609,97.51833051325436,96.1,96.0,96.19238476953909
2,RF_WITH_AWEIp95,Mula,500.0,20.0,1.0,,,,89.58762886597938,99.9787037694328,90.25096525096524,86.64007976071785,92.7427961579509
3,RF_WITH_AWEIp95,RawaPening,500.0,10.0,1.0,,,,96.12027158098934,98.66216025911844,96.003996003996,98.90219560878243,93.49056603773585
4,RF_WITH_AWEIp95,Rodman,500.0,20.0,1.0,,,,95.50140581068416,99.96441534410361,95.24517087667161,99.706457925636,91.636690647482
5,RF_WITH_AWEIp95,Valsequillo,200.0,10.0,10.0,,,,93.60613810741688,97.70538243626062,93.74061091637455,90.23668639053254,97.23698193411265
6,RF_WITH_AWEIp95,Vembanad,500.0,10.0,5.0,,,,93.72174786539428,97.97330696984676,93.75624375624376,93.11377245508982,94.33771486349848
7,RF_WITH_AWEIp95,Winam,100.0,20.0,10.0,,,,89.92840095465394,97.81269908685496,89.4447223611806,94.19999999999999,86.02739726027397
8,RF_WITH_AWEIp95,regions_mean,,,,,,,94.08199651621996,98.3849833348916,94.08360817500375,94.55049781999004,93.78165516850154
