,model,test_region,patch_size,AWEIp95,test_f1,train_f1,test_accuracy,test_recall,test_precision
0,15_DENSE_AWEI_False,Hartbeespoort,15.0,False,90.9,96.4,91.4,86.7,95.5
1,15_DENSE_AWEI_False,Inle,15.0,False,96.7,97.1,96.6,98.3,95.2
2,15_DENSE_AWEI_False,Mula,15.0,False,65.1,98.3,74.0,50.1,92.8
3,15_DENSE_AWEI_False,RawaPening,15.0,False,95.0,96.2,95.0,94.2,95.7
4,15_DENSE_AWEI_False,Rodman,15.0,False,89.1,95.8,88.1,96.8,82.5
5,15_DENSE_AWEI_False,Valsequillo,15.0,False,96.1,97.2,96.0,96.7,95.5
6,15_DENSE_AWEI_False,Vembanad,15.0,False,96.4,96.0,96.4,95.3,97.4
7,15_DENSE_AWEI_False,Winam,15.0,False,85.4,97.3,86.7,77.8,94.8
8,15_DENSE_AWEI_False,regions_mean,,,89.3,96.8,90.5,87.0,93.7
0,15_GAP_AWEI_False,Hartbeespoort,15.0,False,95.1,95.5,95.3,92.5,97.9
1,15_GAP_AWEI_False,Inle,15.0,False,96.4,96.5,96.3,98.3,94.5
2,15_GAP_AWEI_False,Mula,15.0,False,71.9,97.8,77.8,58.6,93.0
3,15_GAP_AWEI_False,RawaPening,15.0,False,95.2,96.3,95.2,96.5,94.0
4,15_GAP_AWEI_False,Rodman,15.0,False,90.1,97.1,89.7,93.7,86.7
5,15_GAP_AWEI_False,Valsequillo,15.0,False,96.0,96.7,95.9,97.5,94.6
6,15_GAP_AWEI_False,Vembanad,15.0,False,97.5,96.6,97.5,98.6,96.5
7,15_GAP_AWEI_False,Winam,15.0,False,83.8,97.5,85.5,74.7,95.4
8,15_GAP_AWEI_False,regions_mean,,,90.8,96.7,91.7,88.8,94.1
0,15_GAP_AWEI_True,Hartbeespoort,15.0,True,88.3,96.9,89.5,80.8,97.4
1,15_GAP_AWEI_True,Inle,15.0,True,98.1,98.5,98.0,99.1,97.1
2,15_GAP_AWEI_True,Mula,15.0,True,89.0,98.5,89.9,84.4,94.1
3,15_GAP_AWEI_True,RawaPening,15.0,True,97.4,98.7,97.3,99.4,95.4
4,15_GAP_AWEI_True,Rodman,15.0,True,95.5,98.2,95.3,97.9,93.1
5,15_GAP_AWEI_True,Valsequillo,15.0,True,84.8,98.5,86.3,76.5,95.2
6,15_GAP_AWEI_True,Vembanad,15.0,True,97.4,98.2,97.4,98.1,96.8
7,15_GAP_AWEI_True,Winam,15.0,True,92.3,98.6,92.6,88.8,96.1
8,15_GAP_AWEI_True,regions_mean,,,92.9,98.3,93.3,90.6,95.6
0,31_DENSE_AWEI_False,Hartbeespoort,31.0,False,81.1,97.6,84.0,69.8,96.8
1,31_DENSE_AWEI_False,Inle,31.0,False,97.3,96.2,97.3,98.5,96.1
2,31_DENSE_AWEI_False,Mula,31.0,False,49.4,97.9,66.5,33.8,91.6
3,31_DENSE_AWEI_False,RawaPening,31.0,False,95.5,95.4,95.4,98.5,92.7
4,31_DENSE_AWEI_False,Rodman,31.0,False,89.9,94.7,89.0,97.9,83.1
5,31_DENSE_AWEI_False,Valsequillo,31.0,False,92.3,96.0,92.5,90.2,94.6
6,31_DENSE_AWEI_False,Vembanad,31.0,False,94.8,95.4,94.7,96.9,92.8
7,31_DENSE_AWEI_False,Winam,31.0,False,86.6,97.5,87.6,79.9,94.4
8,31_DENSE_AWEI_False,regions_mean,,,85.9,96.3,88.4,83.2,92.8
0,31_GAP_AWEI_False,Hartbeespoort,31.0,False,82.0,89.0,84.1,73.5,92.7
1,31_GAP_AWEI_False,Inle,31.0,False,92.8,91.7,92.8,92.6,93.1
2,31_GAP_AWEI_False,Mula,31.0,False,39.4,94.5,62.2,25.4,87.6
3,31_GAP_AWEI_False,RawaPening,31.0,False,87.1,91.2,85.7,96.2,79.5
4,31_GAP_AWEI_False,Rodman,31.0,False,85.3,93.2,83.7,94.6,77.7
5,31_GAP_AWEI_False,Valsequillo,31.0,False,84.0,92.7,84.1,83.4,84.5
6,31_GAP_AWEI_False,Vembanad,31.0,False,84.9,92.8,86.5,76.2,95.9
7,31_GAP_AWEI_False,Winam,31.0,False,72.2,90.4,78.1,56.8,99.0
8,31_GAP_AWEI_False,regions_mean,,,78.5,91.9,82.1,74.8,88.7
0,7_GAP_AWEI_False,Hartbeespoort,7.0,False,91.7,94.5,92.2,87.0,96.9
1,7_GAP_AWEI_False,Inle,7.0,False,94.3,95.6,94.1,97.2,91.5
2,7_GAP_AWEI_False,Mula,7.0,False,78.2,97.0,81.5,68.5,91.0
3,7_GAP_AWEI_False,RawaPening,7.0,False,94.7,95.6,94.7,95.5,93.9
4,7_GAP_AWEI_False,Rodman,7.0,False,84.7,95.4,83.9,88.8,80.9
5,7_GAP_AWEI_False,Valsequillo,7.0,False,94.5,96.4,94.6,94.3,94.8
6,7_GAP_AWEI_False,Vembanad,7.0,False,96.5,95.4,96.5,95.8,97.2
7,7_GAP_AWEI_False,Winam,7.0,False,86.7,96.8,87.3,82.8,91.1
8,7_GAP_AWEI_False,regions_mean,,,90.2,95.8,90.6,88.7,92.2
0,RF_NO_AWEIp95,Hartbeespoort,0.0,False,95.2,93.3,95.4,93.3,97.2
1,RF_NO_AWEIp95,Inle,0.0,False,91.2,93.9,91.0,94.2,88.5
2,RF_NO_AWEIp95,Mula,0.0,False,83.8,97.3,85.6,76.8,92.2
3,RF_NO_AWEIp95,RawaPening,0.0,False,94.5,95.8,94.5,94.7,94.3
4,RF_NO_AWEIp95,Rodman,0.0,False,88.2,94.1,86.7,99.4,79.3
5,RF_NO_AWEIp95,Valsequillo,0.0,False,94.6,93.4,94.6,94.8,94.3
6,RF_NO_AWEIp95,Vembanad,0.0,False,92.7,93.5,92.7,92.7,92.7
7,RF_NO_AWEIp95,Winam,0.0,False,86.2,94.2,85.4,91.3,81.7
8,RF_NO_AWEIp95,regions_mean,,,90.8,94.5,90.7,92.2,90.0
0,RF_WITH_AWEIp95,Hartbeespoort,0.0,True,98.1,97.5,98.1,97.6,98.6
1,RF_WITH_AWEIp95,Inle,0.0,True,96.1,97.5,96.1,96.0,96.2
2,RF_WITH_AWEIp95,Mula,0.0,True,89.6,100.0,90.3,86.6,92.7
3,RF_WITH_AWEIp95,RawaPening,0.0,True,96.1,98.7,96.0,98.9,93.5
4,RF_WITH_AWEIp95,Rodman,0.0,True,95.5,100.0,95.2,99.7,91.6
